,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1316.89,1416.18,1389.46,1322.61,1241.84,1127.66,336.28,180.26,137.31,106.42,96.84,89.52,1244.93,1265.8,1225.7,1145.98,1056.99,395.65,281.99,183.51,131.34,101.42,88.35,84.16,1163.5,1147.04,1096.98,1015.78,390.4,306.9,226.78,167.48,125.81,100.97,86.7,85.18,1124.71,1076.67,1003.9,377.26,301.85,238.17,186.29,145.69,118.61,93.46,82.0,82.81,1087.67,1003.7,359.27,291.11,238.75,195.66,158.1,129.87,105.82,87.13,77.28,73.43,1010.99,338.75,271.98,226.12,186.93,164.15,136.23,114.01,91.22,78.56,71.73,69.52,251.71,226.78,207.46,190.72,167.58,141.29,123.23,101.11,86.75,73.1,63.6,61.2
2,4491.94,4688.62,4581.51,4390.35,4156.68,3918.76,3659.75,3334.84,2960.77,358.51,294.89,291.81,4363.61,4379.49,4246.3,4022.85,3758.6,3490.37,3245.8,3016.79,442.14,345.84,290.26,300.6,4277.5,4198.51,4008.29,3761.84,3490.01,3300.83,658.87,518.29,388.19,325.23,283.94,290.67,4180.68,4060.55,3853.43,3604.45,3324.9,734.0,553.64,449.26,342.03,283.01,261.81,270.51,4097.59,3909.78,3634.1,916.5,753.82,592.67,473.93,381.64,304.9,262.86,233.67,247.34,4004.31,3595.21,887.71,693.44,583.17,468.67,392.3,327.59,271.23,234.43,218.57,211.49,839.8,708.64,633.81,543.47,473.4,402.85,340.67,277.7,243.27,221.26,197.72,180.93
3,7510.41,7746.5,7578.14,7232.09,6886.51,6514.39,6094.66,5602.8,761.12,625.52,559.43,560.92,7716.68,7598.37,7334.86,6998.16,6581.14,6203.51,5866.66,5586.25,736.32,632.24,540.19,597.55,7635.16,7512.0,7230.05,6830.07,6456.01,6082.82,5755.09,5557.25,707.99,609.43,558.41,534.42,7586.64,7410.82,7064.1,6678.86,6285.7,5962.35,5639.12,5485.65,641.21,565.04,502.57,498.42,7530.49,7275.46,6867.8,6487.35,6108.28,5747.3,914.91,731.35,578.74,488.97,450.29,465.29,7397.35,6961.47,6431.68,1448.67,1147.14,926.05,752.76,605.11,504.19,435.92,406.46,392.03,1794.96,1392.66,1222.64,1027.4,872.23,725.86,629.26,533.68,455.01,386.32,354.13,340.09
4,9330.92,9099.54,8891.21,8501.49,8248.48,7926.3,7596.86,1014.34,887.6,695.53,630.85,595.43,9987.94,9625.84,9252.05,8822.8,8393.81,7981.31,7678.0,1092.15,922.4,719.45,671.12,690.39,10019.42,9785.26,9372.67,8973.31,8496.2,8093.21,7697.94,1194.02,887.09,814.26,699.09,716.88,10032.29,9833.04,9376.82,8900.26,8471.6,8111.18,7707.75,1075.91,901.14,759.45,691.0,691.14,9962.94,9790.23,9315.11,8810.37,8401.21,7999.51,7643.7,1050.01,910.96,725.1,680.76,662.75,9923.77,9511.59,9012.5,8602.2,8133.14,7784.4,7514.46,991.37,810.41,691.76,610.27,620.97,9121.84,8624.52,8353.03,1786.41,1502.87,1258.03,1014.21,877.77,711.22,603.41,531.8,529.53
5,2087.21,1654.22,1276.84,961.53,720.56,521.74,428.79,303.99,271.16,208.63,175.99,179.56,2842.71,2250.11,1625.68,1156.69,853.76,636.29,489.64,385.98,273.46,232.55,190.06,216.93,2979.33,2453.04,1813.35,1339.49,948.63,689.55,503.12,349.2,313.34,264.78,210.74,210.58,2994.59,2551.11,1931.13,1396.86,994.43,710.94,526.06,374.23,333.7,302.61,221.78,216.22,2991.26,2514.42,1937.02,1398.08,991.68,749.3,494.42,447.79,318.78,253.56,218.44,212.45,2871.29,2322.46,1817.29,1257.58,960.36,718.21,500.14,368.29,328.36,268.68,210.44,218.75,2227.67,1833.48,1460.32,1161.19,842.06,620.69,493.67,407.94,243.31,239.79,223.23,213.51
6,2127.37,1714.05,1470.93,1256.08,1052.09,901.99,743.05,616.39,539.13,445.55,400.85,371.89,9855.43,9153.5,2162.98,1663.6,1353.52,1095.37,881.91,717.11,615.14,524.13,456.63,460.9,10054.08,9734.58,9114.06,8558.48,1759.56,1331.2,1054.57,855.5,656.7,573.65,515.0,519.36,10176.99,9931.13,9430.96,8928.12,8346.08,7917.78,7556.7,961.46,742.28,636.22,561.85,537.85,10267.56,10055.77,9655.71,9148.72,8607.09,8165.0,7732.75,7449.72,856.61,690.52,580.05,607.99,10451.65,10371.8,9992.14,9485.13,8876.0,8388.67,7945.33,7510.28,876.66,729.04,642.32,653.96,10321.41,10707.31,10422.01,10021.85,9538.52,9047.47,8481.86,7758.61,911.76,754.13,593.37,573.39
7,1445.36,1259.16,1137.04,1001.52,882.01,769.2,636.88,551.43,448.95,408.03,352.1,319.81,7711.22,1953.61,1511.56,1245.69,1057.28,857.36,749.92,625.29,506.17,419.81,390.63,367.39,7979.78,7628.87,2019.14,1552.41,1307.37,1049.33,862.23,690.21,563.46,483.31,407.67,409.71,8117.21,7958.82,7555.11,7119.55,1633.71,1280.8,989.96,781.64,627.75,523.44,461.58,428.66,8355.81,8259.74,7916.71,7573.95,7141.11,1569.51,1215.86,949.55,703.99,554.46,455.54,433.61,8717.03,8778.48,8610.98,8165.32,7705.64,7225.91,1684.2,1215.7,818.39,570.79,476.63,441.27,9131.89,9658.98,9472.22,9179.69,8789.74,8356.59,7860.19,2211.15,961.74,556.87,446.44,373.84
8,895.63,788.78,681.76,596.2,498.22,404.26,334.22,277.91,215.66,181.13,155.18,147.51,2788.81,1093.52,862.91,706.72,556.45,467.03,380.75,288.7,248.6,198.2,172.27,168.37,2983.45,2694.09,1108.95,876.35,694.33,551.58,424.64,341.35,258.49,213.58,184.63,174.35,3112.42,2914.97,1362.54,1068.64,838.92,644.78,484.49,378.32,291.33,220.69,189.33,182.69,3238.82,3151.82,2912.72,1353.69,1049.21,777.33,561.81,387.06,291.14,219.0,190.82,185.01,3449.35,3457.9,3272.18,3000.05,1361.57,962.02,599.18,402.96,292.63,225.75,188.67,179.96,3668.61,3919.02,3797.56,3574.52,3239.85,1073.38,525.74,378.99,282.63,221.13,176.79,172.72
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
