,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,49.94,34.52,25.96,19.44,14.6,11.15,8.8,7.22,5.47,4.63,4.03,3.77,64.22,42.95,30.65,22.64,16.46,12.37,9.9,7.81,6.2,5.07,4.29,4.38,60.25,46.91,33.04,24.21,18.56,13.33,10.61,7.79,6.71,5.17,4.58,4.35,57.51,47.12,33.7,23.98,18.31,13.62,10.71,8.14,6.42,5.35,4.73,4.51,57.9,45.65,33.34,24.32,18.16,13.86,10.57,8.05,6.44,5.6,4.64,4.3,55.32,41.26,29.98,22.27,16.85,12.51,9.79,7.79,6.23,5.07,4.39,4.23,39.52,32.52,26.15,19.54,14.96,11.6,9.18,7.21,5.56,4.74,3.99,3.75
2,158.03,113.4,87.63,65.83,49.93,39.22,30.69,24.36,19.37,16.81,14.48,13.42,179.75,136.39,100.92,74.1,55.61,44.34,33.81,27.05,21.33,17.63,16.0,14.98,181.87,142.97,106.4,79.51,59.18,45.93,36.5,29.12,23.18,19.21,16.76,16.24,176.96,146.11,108.44,80.74,60.91,47.27,37.05,29.02,23.35,19.12,17.33,16.29,178.07,141.22,104.54,78.31,58.93,46.28,36.21,28.34,23.68,19.71,16.82,15.66,169.18,130.63,96.42,73.3,55.08,43.22,33.67,27.44,21.64,18.28,15.91,14.84,128.63,105.78,85.01,63.99,48.76,39.5,31.21,24.36,20.71,17.5,14.28,13.47
3,260.32,188.32,146.82,114.1,85.39,67.65,53.1,43.48,35.62,29.0,25.62,24.91,297.84,227.93,170.35,126.84,97.91,75.23,60.52,46.66,37.79,31.5,28.29,27.17,299.21,238.4,179.79,136.75,105.07,82.19,62.53,50.77,40.39,34.51,29.42,29.51,292.88,242.26,183.95,139.51,106.46,80.2,64.62,51.48,41.07,34.54,30.32,29.87,299.09,239.14,180.91,135.76,102.22,79.8,64.2,50.61,39.68,34.45,30.52,29.35,293.51,223.5,166.73,126.0,97.08,77.42,60.65,47.81,38.31,31.74,27.75,27.42,229.19,185.74,144.34,112.79,87.87,67.65,55.57,44.06,36.21,29.31,24.8,23.53
4,324.86,243.91,191.86,147.07,114.65,89.61,72.05,57.75,47.0,39.67,33.37,33.93,380.37,288.66,216.1,165.58,126.33,98.81,77.48,62.83,50.84,43.12,37.88,35.82,387.55,306.2,234.93,176.02,134.16,105.68,82.25,67.07,54.74,45.4,40.75,38.11,384.84,314.19,239.85,180.44,138.34,108.0,85.34,68.23,55.17,45.88,41.06,40.08,380.89,305.12,234.41,175.72,134.49,107.34,84.39,66.35,53.48,44.73,39.87,39.47,372.07,289.68,218.6,166.71,127.44,98.3,78.9,63.44,51.7,42.99,38.02,36.36,310.19,242.05,192.96,149.25,114.06,89.78,72.97,56.63,46.65,40.07,34.6,32.81
5,50.7,35.68,27.39,21.57,15.97,11.6,9.79,8.3,7.31,6.33,4.99,5.54,74.14,46.09,31.46,23.38,16.47,13.98,10.94,8.15,6.82,6.83,5.96,7.24,75.62,52.33,37.0,24.86,17.12,14.76,11.42,9.57,7.1,6.62,6.21,7.14,74.89,54.48,37.14,26.44,19.12,14.63,11.29,9.14,9.02,6.28,6.2,7.94,75.01,54.99,38.82,27.0,19.83,13.24,11.81,9.3,8.86,7.13,6.31,7.37,75.48,50.63,34.36,24.02,18.38,14.41,11.2,10.0,7.09,6.35,6.5,7.48,55.05,40.99,30.43,22.13,16.92,14.01,11.31,8.94,7.66,6.16,6.3,7.1
6,306.41,245.41,196.0,150.78,116.91,92.64,73.53,59.87,49.05,40.58,35.2,32.59,391.27,300.5,223.67,170.51,131.84,103.42,80.72,64.9,54.21,44.23,38.79,36.09,406.17,325.77,245.16,183.91,141.42,110.86,86.78,69.4,55.4,47.2,40.19,37.4,405.56,330.82,250.39,190.28,143.49,112.05,88.24,71.02,58.21,47.03,42.15,40.49,411.67,330.38,250.85,188.31,141.61,109.88,88.17,72.21,56.01,46.15,41.54,40.73,405.94,313.74,232.3,175.98,135.0,106.74,82.08,64.52,53.52,42.73,39.71,38.2,350.39,267.37,206.87,156.06,121.37,95.34,75.05,59.92,49.22,40.52,34.48,33.38
7,269.36,217.16,172.48,136.57,104.16,82.54,65.05,54.38,42.63,36.51,30.36,28.93,356.97,271.11,204.36,151.36,119.38,92.28,71.39,57.49,46.88,38.49,34.24,32.63,368.82,294.36,217.08,165.78,125.24,97.8,74.12,59.86,48.72,41.12,36.04,33.12,372.17,303.31,230.82,172.36,130.8,101.68,79.02,61.52,49.72,41.51,35.84,33.3,381.32,306.46,228.53,169.04,128.6,98.14,76.77,61.87,49.11,41.67,36.05,34.65,390.21,288.87,215.09,157.27,120.94,95.12,72.8,58.11,45.1,38.22,34.42,30.86,339.33,250.15,190.49,142.68,107.22,84.28,65.86,53.15,43.54,36.87,31.65,29.51
8,107.71,88.19,67.62,54.49,40.6,30.63,22.63,19.66,14.93,12.45,10.66,9.51,154.5,116.4,82.2,63.48,49.34,34.47,26.33,21.19,18.14,13.83,11.92,10.61,160.46,125.24,93.22,70.82,47.79,37.16,27.94,22.33,16.83,14.58,12.3,11.31,160.11,132.11,105.41,69.36,52.43,36.6,29.89,22.11,18.13,14.39,12.71,10.23,172.88,144.6,95.84,69.04,48.52,35.84,28.58,22.16,17.97,15.07,12.61,11.8,191.66,122.79,85.51,64.69,46.27,36.17,25.38,20.15,16.36,13.57,12.05,11.35,138.24,99.18,74.32,53.32,39.95,31.42,24.3,18.3,14.82,12.39,10.87,9.93
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
