,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,90.79,98.4,118.04,148.74,179.67,190.88,148.37,94.99,61.58,38.74,40.42,48.21,141.49,133.0,163.74,169.61,181.92,167.52,132.23,84.94,54.81,48.66,46.39,37.13,133.76,134.09,151.91,148.19,163.89,139.24,123.25,69.66,66.33,42.91,40.12,43.48,116.59,107.52,114.2,125.93,116.51,97.75,75.24,71.77,57.04,42.13,37.51,37.4,101.28,97.71,91.48,92.07,85.06,87.49,64.73,55.62,48.17,36.27,40.57,36.41,92.04,77.23,81.69,78.54,75.6,69.78,60.83,54.22,40.83,36.25,30.49,34.18,67.98,61.27,60.62,62.1,57.98,58.43,51.39,46.24,38.13,33.29,28.24,28.68
2,249.52,252.39,332.61,532.56,680.95,3247.17,3089.26,2958.12,318.4,202.35,141.77,149.16,334.62,344.87,409.32,510.59,547.2,2876.23,2813.14,2687.8,214.69,158.3,147.49,135.71,323.51,304.98,356.3,447.68,398.48,2824.9,360.38,274.91,230.03,157.19,147.56,149.3,292.49,259.66,282.45,360.86,367.22,295.39,261.85,227.73,199.54,124.28,137.92,126.32,273.03,238.41,247.68,245.04,323.24,249.95,207.76,175.37,155.86,122.87,128.23,113.04,241.1,200.73,205.11,244.14,215.08,206.5,175.55,152.62,118.72,122.95,101.4,96.28,183.06,165.79,169.14,182.51,155.96,185.23,164.26,122.06,116.82,98.62,92.09,85.42
3,338.95,313.76,464.87,687.96,944.45,949.24,5274.22,5191.14,393.66,260.56,291.13,306.42,440.14,408.88,564.79,676.55,740.22,647.18,5227.44,5037.74,334.12,298.94,290.58,324.21,417.42,374.39,467.51,626.6,690.12,670.09,5168.57,5084.22,298.77,315.81,311.54,303.19,404.03,338.67,481.3,503.57,544.77,558.61,5176.51,4985.26,318.7,322.35,282.77,275.18,378.45,329.23,388.93,477.62,574.22,569.05,398.72,332.99,332.11,240.97,203.52,219.1,357.94,288.13,380.48,443.11,447.73,415.72,391.34,357.86,201.83,223.28,205.84,188.76,284.45,233.1,260.75,318.02,330.17,335.69,274.39,264.3,237.34,169.79,182.99,179.48
4,355.11,301.2,439.72,662.65,6915.73,7034.35,6923.06,463.12,439.55,412.51,295.72,274.58,442.04,361.1,462.96,730.95,7064.36,7073.32,6981.47,578.89,486.26,352.7,394.54,342.37,444.2,351.15,486.65,674.98,6985.57,7111.76,6809.44,621.22,318.93,425.64,418.73,356.77,440.29,356.86,499.46,561.45,6939.55,6958.45,6950.32,502.58,549.72,452.69,392.22,349.53,432.28,368.72,487.83,552.35,6997.34,6938.67,6805.56,566.58,487.26,383.99,420.89,350.73,420.92,334.63,417.96,555.07,6982.23,7080.71,6926.55,444.86,417.0,352.23,367.42,321.96,344.82,269.1,377.69,463.15,538.2,547.36,393.65,402.12,327.88,286.02,366.68,261.97
5,85.72,76.34,236.56,310.62,277.32,242.35,191.45,188.52,135.88,86.19,100.89,108.86,117.96,97.46,236.42,264.91,325.29,287.36,175.13,148.54,241.7,105.97,145.7,79.38,117.6,108.48,326.05,367.0,334.03,283.13,187.97,198.3,160.39,197.72,117.83,149.42,116.39,103.77,304.18,423.79,339.45,388.53,282.72,238.28,182.55,136.73,142.81,141.92,121.28,146.0,380.23,413.91,393.92,192.86,266.85,264.46,201.44,127.62,108.52,142.0,118.43,111.04,265.92,351.89,382.88,344.13,254.59,144.42,216.76,116.83,120.47,110.02,84.74,90.06,251.7,324.35,312.32,225.46,266.89,136.11,193.67,166.32,127.79,104.14
6,397.64,341.15,363.56,407.88,425.15,357.18,333.07,286.64,232.64,238.31,212.74,180.34,507.66,420.59,478.94,550.27,477.66,513.31,393.79,343.41,257.61,271.58,222.25,244.64,531.24,452.02,507.21,575.58,587.67,510.62,494.97,401.46,311.27,262.7,274.28,247.61,567.12,495.36,604.38,691.08,805.26,7120.32,6936.21,489.62,332.91,333.54,246.06,310.47,609.25,566.1,771.71,882.23,975.8,7171.47,7073.98,6830.57,346.43,393.44,294.91,345.66,632.43,644.51,828.63,1054.77,1084.88,7308.27,7102.98,6778.84,486.32,385.78,406.62,364.93,507.53,487.3,696.41,997.27,1314.88,7870.2,7494.7,7037.95,577.65,311.34,372.35,380.04
7,410.4,379.85,363.9,383.32,398.08,372.29,297.14,247.51,225.45,188.28,145.99,144.95,544.78,417.9,460.03,484.11,445.84,396.79,363.63,279.2,237.65,193.74,178.79,182.19,593.89,520.88,511.39,566.65,524.71,450.07,412.61,356.35,263.61,218.98,206.98,197.42,687.93,633.1,686.99,698.36,714.81,648.01,521.68,360.16,314.54,234.14,221.24,209.9,736.23,725.18,777.08,974.21,994.56,820.12,674.83,474.09,396.71,292.07,249.02,219.02,777.94,769.39,903.56,1147.68,1256.76,1189.68,922.35,678.69,441.74,289.85,235.29,218.72,552.99,567.0,773.92,1078.6,1317.0,1735.84,6978.08,1516.53,537.19,266.01,191.12,196.51
8,189.05,175.88,188.05,189.21,185.18,172.32,144.19,115.96,95.69,74.32,68.91,60.31,267.87,233.9,274.57,250.35,238.76,180.48,181.75,147.53,103.11,77.81,68.98,73.07,310.41,289.71,305.06,301.27,282.63,236.75,192.0,148.67,117.22,94.65,77.67,81.07,361.89,325.27,379.64,364.68,290.28,282.48,234.27,162.87,132.05,94.94,91.09,80.92,405.84,409.27,423.54,486.24,421.16,333.62,286.84,202.8,143.28,104.02,79.1,79.39,426.64,420.91,462.81,537.49,503.89,433.43,271.51,187.3,127.99,115.88,83.38,77.13,284.43,271.3,357.14,389.08,420.22,322.05,208.07,175.81,120.21,104.7,70.13,74.34
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
