,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,92.2,91.24,121.11,167.15,189.92,207.98,155.23,90.07,55.6,48.06,34.1,36.3,140.19,140.87,156.16,186.56,197.23,188.33,139.78,96.49,71.48,47.73,43.81,42.89,137.73,131.66,146.93,161.25,151.9,120.82,113.67,73.74,58.41,48.58,49.99,36.06,116.01,114.81,114.79,109.96,110.58,111.46,91.88,75.0,51.85,55.67,42.45,35.4,106.11,89.88,97.35,98.29,94.87,85.89,69.61,58.97,42.52,40.12,36.99,33.08,92.26,78.97,80.26,79.72,76.65,64.26,59.66,59.27,34.75,32.74,34.1,33.35,68.32,61.27,65.11,68.36,67.17,58.99,55.04,42.87,37.95,35.71,30.27,24.84
2,249.26,257.07,359.21,493.44,694.89,3253.74,3212.41,2943.18,360.32,166.51,117.6,136.72,353.96,347.42,412.89,574.6,557.9,2986.32,2803.25,2700.29,167.79,154.16,120.98,145.13,335.3,307.41,360.81,429.83,425.74,2775.68,333.56,227.27,216.27,156.47,139.75,132.98,302.31,273.58,307.65,350.14,342.52,357.14,261.23,176.29,154.12,159.93,135.55,124.21,268.49,226.86,251.65,321.63,278.83,243.13,208.75,179.81,123.89,126.98,114.73,121.64,251.87,203.54,204.87,227.76,222.68,198.0,184.4,151.66,131.34,102.66,99.57,104.71,196.67,164.66,174.79,179.64,190.31,180.17,154.34,124.57,106.78,103.23,93.42,100.27
3,348.6,326.29,454.15,643.41,961.81,877.66,5369.02,5064.37,381.64,365.93,296.74,261.36,446.45,416.38,579.01,681.39,647.31,749.95,5125.15,5103.0,301.09,275.68,294.55,300.63,435.5,395.34,487.23,579.07,657.3,728.73,5251.85,5030.94,362.28,283.2,299.14,256.65,399.26,348.7,470.86,438.0,534.2,518.82,5032.69,5068.71,292.63,309.82,291.18,287.09,381.57,311.14,424.81,531.05,547.75,487.94,455.06,364.67,307.59,260.86,227.21,224.1,358.01,288.62,339.77,350.78,411.63,390.65,327.93,311.28,195.38,233.18,165.1,204.9,291.77,243.92,284.91,311.4,358.79,312.0,264.55,275.55,180.33,213.62,153.72,177.9
4,9281.12,8276.69,7671.47,1153.57,7390.48,7339.8,7095.12,682.74,535.54,473.31,438.18,478.04,9804.67,8691.38,7838.33,1301.22,7271.03,7327.9,7122.95,722.38,577.38,520.88,434.39,488.18,9876.6,8787.85,8136.19,1399.31,7479.42,7494.29,7332.14,770.22,608.81,542.59,518.45,480.63,9915.28,8907.22,7882.85,1410.32,7681.55,7550.48,7164.65,916.14,640.87,506.6,498.74,501.66,9871.57,8819.27,7970.91,1295.94,7376.04,7241.28,7279.09,740.01,630.42,588.63,471.83,502.61,9764.23,8715.62,7807.27,1081.67,7369.74,7164.79,6889.78,673.92,481.84,435.35,353.31,454.78,8947.59,8023.67,7567.9,998.6,772.72,828.7,536.14,527.67,496.74,422.92,388.03,406.4
5,83.22,86.58,192.86,295.02,267.54,221.83,182.77,171.28,115.07,113.09,95.18,104.78,116.5,110.66,243.95,313.81,356.87,315.87,265.69,182.66,168.85,167.26,142.35,127.33,116.99,113.55,266.68,382.68,393.9,261.2,245.18,185.57,174.77,201.95,116.42,163.28,114.2,126.1,365.85,318.53,346.49,319.23,320.47,200.78,215.53,142.02,142.05,119.27,116.44,109.39,281.69,517.05,408.12,300.63,246.55,163.58,170.8,164.22,158.25,95.8,112.39,132.79,317.31,342.3,312.47,340.05,194.53,226.88,144.55,133.63,119.12,128.98,77.42,104.4,200.51,296.89,319.82,278.05,241.72,230.04,145.99,140.19,114.32,149.93
6,414.9,351.15,374.96,423.73,377.47,401.37,331.68,278.57,262.61,211.07,225.21,194.97,509.54,392.21,444.41,544.97,526.68,449.01,450.28,326.98,273.87,236.98,217.83,223.61,540.14,498.06,562.7,650.87,682.22,475.42,511.87,472.33,335.62,257.16,290.16,254.63,581.82,509.95,617.52,742.38,721.39,7034.22,6912.68,375.93,384.69,264.37,314.55,280.39,609.71,588.82,767.07,742.54,1038.7,7265.59,7078.95,6891.92,433.88,424.69,341.87,292.44,657.84,639.74,742.49,1000.53,1277.96,7357.1,7071.64,6917.56,430.8,371.98,297.73,320.51,508.15,457.17,678.22,930.57,1458.73,7810.75,7501.03,7017.64,441.4,425.33,286.54,343.34
7,419.54,360.56,390.77,372.61,395.92,320.77,287.77,257.74,201.34,187.82,158.34,141.24,542.77,464.03,447.85,498.87,437.12,413.1,358.38,300.15,250.54,202.12,185.23,170.72,561.97,535.76,554.29,584.66,575.34,487.85,416.43,341.08,249.99,238.34,204.61,203.19,666.94,603.12,629.34,681.08,713.48,641.32,491.3,411.38,307.41,251.45,214.68,210.24,735.94,742.76,787.97,806.04,964.05,863.18,665.54,454.03,402.4,298.66,237.69,205.04,781.7,804.15,930.19,1129.08,1192.15,1116.17,999.01,659.11,427.88,309.75,224.92,205.15,569.15,568.13,762.43,1028.39,1353.78,1651.94,6965.14,1413.8,544.46,265.95,236.56,201.91
8,623.11,336.63,290.95,266.88,256.36,221.98,192.65,147.7,133.95,104.1,95.52,86.25,2376.77,479.09,346.58,329.92,272.73,269.17,201.37,177.49,133.74,123.32,108.76,97.09,2519.0,1916.85,395.4,391.67,340.46,305.65,229.24,177.52,142.7,129.4,100.83,102.33,2572.99,1925.06,603.0,491.96,399.09,383.39,252.94,188.83,159.83,141.31,117.28,95.85,2607.79,2072.17,1920.9,592.15,537.02,407.14,317.58,205.21,161.58,116.49,103.03,103.42,2643.89,2109.19,1969.13,750.63,558.42,426.1,284.73,234.85,150.12,125.95,97.85,94.97,2820.38,2226.02,1917.46,490.12,494.21,354.78,299.94,165.99,124.27,123.82,102.17,98.44
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
