,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
0,342.42,358.0,349.92,321.82,144.53,79.73,57.61,40.16,30.23,26.55,21.96,21.45,311.24,312.14,298.21,151.95,112.86,74.04,51.61,37.72,28.87,23.1,21.26,21.22,296.32,283.33,262.19,117.48,87.79,65.17,45.9,35.12,27.66,22.4,19.38,20.44,281.7,262.93,118.94,93.88,72.85,56.48,41.78,32.95,26.3,21.32,19.3,20.0,266.4,123.82,93.31,73.64,59.75,45.97,36.71,28.81,23.39,19.54,18.4,19.48,243.4,89.31,71.07,58.45,48.01,39.22,31.33,27.3,21.35,18.48,16.16,17.14,66.78,60.69,56.44,48.82,42.82,34.52,29.66,23.79,19.93,16.95,15.35,15.34
1,577.15,467.09,361.48,264.71,183.53,141.43,107.38,88.87,59.85,52.01,47.58,43.36,764.25,581.67,424.37,293.95,216.9,160.72,125.4,85.36,63.61,56.54,53.59,49.59,797.41,638.17,467.48,324.49,225.96,153.17,123.81,91.84,71.74,58.69,51.81,51.61,800.43,641.55,457.92,318.17,229.1,163.46,120.32,82.76,70.6,55.62,52.22,53.09,788.84,634.8,453.31,308.62,228.9,156.74,114.44,88.23,69.2,53.66,47.18,49.9,754.97,565.73,390.96,273.95,214.63,145.16,99.21,79.27,61.55,49.97,49.79,43.66,536.49,428.69,336.61,244.68,177.45,137.91,104.19,83.31,69.34,50.4,44.62,44.62
2,7432.84,7529.75,7237.09,6793.92,6265.85,5514.78,975.6,748.23,563.39,453.11,378.21,377.13,7404.76,7247.45,6891.65,6372.61,5877.08,5393.68,927.23,677.17,525.43,436.6,373.46,360.38,7302.83,7098.82,6654.26,6233.58,5703.98,5314.58,859.6,632.18,507.72,398.37,355.37,356.56,7232.33,6948.47,6507.86,6020.81,5566.14,1071.28,769.59,605.6,466.92,371.14,339.53,336.16,7131.71,6745.23,6202.39,1517.87,1141.36,835.89,629.18,514.28,408.85,324.78,305.36,292.39,6928.9,6259.85,1525.85,1155.22,886.87,656.53,533.16,423.27,364.01,295.92,267.33,273.88,1497.01,1154.09,972.92,827.38,677.31,564.02,457.02,375.98,319.76,272.16,236.8,235.37
3,10294.5,10231.9,9786.55,9237.6,8606.63,1651.25,1181.0,940.0,703.61,581.33,506.39,463.9,10700.49,10370.08,9834.87,9205.89,8502.25,1683.43,1221.17,911.23,729.04,596.61,534.94,534.72,10679.33,10385.2,9837.41,9113.95,8467.91,1616.78,1262.2,960.63,718.43,588.81,530.83,531.58,10681.28,10322.85,9728.37,9031.38,8403.62,1557.42,1152.85,910.07,699.41,567.96,510.64,508.5,10613.69,10156.61,9490.64,8835.22,8215.49,1489.22,1088.24,848.61,622.58,514.81,474.12,459.89,10442.32,9755.82,9025.24,8396.83,1591.55,1217.62,889.05,677.13,567.72,472.17,417.46,436.91,9116.2,2150.73,1784.22,1466.49,1162.94,926.73,750.4,621.25,495.51,411.99,368.54,368.43
4,11701.85,11095.56,10572.17,10048.49,9523.32,1392.07,1087.23,840.31,670.28,516.97,479.63,456.45,12667.17,12080.51,11284.43,10545.82,9844.53,1603.52,1253.87,956.6,743.17,622.0,529.66,513.81,12722.2,12313.38,11628.52,10838.84,10031.7,1854.23,1321.69,974.27,823.52,672.48,579.76,582.84,12732.76,12348.93,11686.07,10984.59,10216.91,1823.77,1397.49,1042.68,832.7,708.05,596.45,576.2,12791.36,12327.66,11642.49,10791.95,10120.33,1755.02,1312.89,1050.27,796.46,642.14,567.47,557.12,12638.21,12087.88,11374.18,10576.45,9867.86,1667.23,1235.6,941.72,699.97,645.32,526.02,500.82,11638.68,11085.46,10579.44,10084.28,9592.16,1460.39,1105.42,853.5,652.65,530.98,504.81,473.82
5,11336.12,2568.64,2135.86,1616.62,1356.97,1060.5,866.51,683.58,560.96,470.74,415.55,403.22,12955.55,12078.07,11177.99,10379.9,1856.45,1331.79,1055.39,819.49,639.48,527.85,463.8,472.89,13158.9,12590.06,11860.61,10920.12,10212.53,1611.39,1230.11,950.41,696.42,589.8,531.94,508.4,13178.94,12763.75,12002.63,11231.01,10452.29,1856.23,1320.29,991.21,779.99,649.49,557.11,562.5,13177.26,12847.63,12126.71,11340.2,10596.22,1927.35,1436.84,1028.62,792.43,651.5,571.3,599.11,13226.49,12883.37,12166.11,11348.96,10536.66,1880.51,1404.65,1032.17,826.97,663.2,583.49,558.84,12687.51,12646.33,12195.91,11471.08,10665.24,1810.81,1379.81,1035.78,758.06,628.78,542.96,538.43
6,2037.76,1600.09,1210.54,868.07,647.38,496.63,350.73,310.96,262.09,183.79,170.74,162.29,3157.67,2299.1,1650.11,1181.63,838.12,622.53,422.85,313.39,235.97,210.94,182.36,187.2,3319.91,2726.31,1939.19,1333.57,943.34,713.25,493.95,347.71,302.29,230.97,205.9,205.05,3376.36,2870.08,2120.13,1489.41,1030.4,780.57,543.95,392.54,293.07,232.85,215.25,196.14,3388.99,2822.25,2129.58,1546.87,1100.59,775.51,553.32,474.06,318.21,261.16,192.25,242.44,3274.82,2695.73,2051.61,1493.92,1046.66,828.58,613.33,395.11,322.0,259.47,232.74,212.39,2662.55,2277.01,1855.92,1422.07,1004.05,781.41,610.7,438.05,352.41,267.77,228.25,214.84
7,1440.77,1129.02,880.56,637.01,508.42,356.69,284.33,202.02,165.98,142.03,128.77,139.07,2402.32,1680.22,1171.92,830.45,577.64,435.53,310.26,247.11,179.43,159.28,145.28,147.77,2585.5,2034.95,1444.12,988.81,701.39,456.65,374.56,265.07,222.39,173.61,151.23,159.51,2626.56,2189.01,1606.58,1121.33,786.82,591.0,393.85,286.37,229.61,169.15,168.5,148.17,2607.68,2229.12,1668.79,1208.24,844.44,582.91,438.56,327.28,239.43,220.96,179.44,176.91,2576.42,2154.26,1650.38,1240.47,901.52,623.94,409.09,348.11,272.71,227.69,179.89,200.58,2184.25,1893.47,1552.49,1228.39,902.77,639.77,496.99,334.73,246.4,212.38,171.34,187.14
8,1051.91,905.71,750.19,648.52,538.84,430.35,354.74,281.35,221.2,187.74,162.38,154.55,3558.51,1265.58,962.14,773.29,628.65,486.32,397.92,317.32,244.54,199.13,177.32,157.79,3848.28,1623.22,1237.77,975.23,715.67,582.63,444.62,338.92,271.57,212.79,188.14,178.72,3964.94,3718.02,1514.08,1180.09,872.26,646.8,479.71,355.07,266.85,224.1,186.9,188.03,4141.55,4018.75,3632.13,1421.63,1057.21,749.74,515.54,385.82,292.91,226.79,195.99,194.02,4431.09,4345.99,4093.64,1827.74,1290.06,815.13,541.97,394.42,290.67,223.8,192.39,178.38,4737.68,4998.12,4783.22,4397.31,1603.75,775.39,525.49,378.05,281.28,217.53,186.21,172.04
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
