,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
0,11.21,7.99,5.89,4.37,3.26,2.54,2.0,1.53,1.26,1.01,0.84,0.85,15.67,9.83,7.01,4.99,3.74,2.86,2.2,1.7,1.39,1.13,0.96,0.94,14.36,11.12,7.56,5.52,4.11,3.02,2.25,1.79,1.46,1.18,1.02,0.97,13.56,11.1,8.09,5.63,4.13,3.01,2.37,1.88,1.45,1.21,1.06,0.94,13.7,10.68,7.68,5.73,4.01,3.08,2.28,1.78,1.42,1.17,1.03,0.96,13.11,9.64,7.1,5.18,3.76,2.92,2.21,1.74,1.35,1.1,0.95,0.87,8.91,7.41,5.78,4.49,3.48,2.56,2.02,1.6,1.29,0.98,0.87,0.82
1,13.88,9.97,7.62,6.13,4.83,4.03,3.36,2.75,2.56,2.1,2.07,2.3,19.62,12.56,8.61,6.78,5.32,4.08,3.25,2.79,2.6,2.19,2.25,2.56,19.4,13.97,9.46,6.76,5.29,4.21,3.61,3.07,2.53,2.35,2.24,2.49,18.35,13.98,9.89,7.33,5.6,4.47,3.69,3.2,2.7,2.37,2.12,2.59,19.61,14.53,10.3,7.5,5.56,4.49,3.75,3.04,2.81,2.34,2.2,2.6,19.99,13.42,9.36,6.96,5.53,4.22,3.59,2.98,2.49,2.36,2.2,2.31,14.22,11.04,8.83,6.65,5.43,4.0,3.53,2.8,2.49,2.22,1.84,2.21
2,215.09,157.5,124.06,96.53,76.07,60.58,47.74,39.37,32.65,27.89,24.82,25.56,245.23,184.84,137.61,105.86,81.34,64.02,52.4,42.43,34.05,29.46,25.88,26.52,242.08,192.26,145.36,111.4,86.86,69.36,54.5,43.57,36.22,30.95,27.8,27.71,238.35,196.38,148.65,113.84,88.87,69.47,54.95,44.77,36.89,30.93,27.67,28.35,244.86,194.7,145.5,110.66,86.63,69.31,54.77,44.91,36.1,30.59,27.54,27.5,237.1,180.2,135.33,104.21,81.5,65.51,51.56,41.03,34.48,28.96,26.34,25.91,184.89,151.0,123.67,95.11,76.14,60.02,46.96,38.2,32.36,27.12,23.24,23.26
3,303.91,226.85,179.85,138.07,109.76,88.16,72.77,56.96,47.46,40.86,36.11,36.36,344.17,259.24,194.98,152.35,119.05,95.95,76.09,61.76,51.47,42.73,38.5,41.51,364.22,273.88,209.83,161.74,126.18,98.43,79.8,65.57,59.05,45.38,41.29,41.33,339.66,271.81,216.28,164.67,128.83,101.66,82.43,66.85,54.36,46.25,41.93,42.93,341.08,271.22,208.8,160.7,125.25,98.9,79.56,65.02,54.31,45.06,40.92,41.01,322.67,256.19,194.55,151.64,118.75,94.47,77.7,60.79,50.97,43.19,38.04,39.05,272.3,223.2,179.46,140.3,111.34,88.6,70.95,57.01,47.55,40.04,34.7,35.37
4,348.46,270.63,213.53,168.18,131.83,112.46,85.22,68.7,56.94,48.47,40.48,41.58,462.84,304.47,229.89,177.27,143.85,113.5,91.82,72.85,59.38,51.06,46.72,47.97,437.6,318.41,248.62,189.79,150.64,123.02,96.57,78.13,63.59,55.32,48.98,50.17,425.67,328.73,253.34,197.62,155.27,124.93,97.06,80.52,66.02,55.86,50.39,50.61,455.31,327.29,251.19,193.76,152.67,121.02,96.67,79.49,63.78,55.3,49.88,49.85,462.01,312.81,240.71,187.86,142.93,113.02,90.32,73.02,63.05,53.49,46.44,46.48,400.17,275.17,221.92,171.71,134.67,108.96,85.59,71.24,56.06,47.46,43.38,41.6
5,333.83,269.49,215.57,169.94,137.48,107.57,87.86,70.79,57.86,49.19,42.3,42.01,406.91,306.93,232.14,189.98,146.83,118.77,95.58,76.68,61.9,52.37,48.04,47.06,431.92,324.1,253.06,195.94,153.4,123.63,97.26,80.82,66.66,56.56,50.6,49.36,405.76,335.29,264.44,204.85,157.84,127.11,100.94,81.69,69.93,56.9,50.57,51.64,412.22,334.5,257.9,197.45,155.96,126.24,98.14,79.98,67.5,58.37,50.98,51.13,427.39,320.82,241.46,186.83,146.24,119.62,96.18,77.94,63.1,54.36,48.95,47.74,360.62,284.62,224.64,182.35,138.97,107.01,90.67,72.51,58.7,49.36,43.25,44.74
6,59.63,45.59,34.11,26.87,21.62,17.22,14.02,11.86,10.1,9.27,8.34,9.51,83.9,55.16,39.77,29.35,22.7,18.88,14.85,11.72,10.4,9.62,8.75,11.31,83.45,60.93,42.39,31.81,24.35,18.55,15.5,12.96,10.79,8.97,9.8,10.8,81.21,61.7,46.35,32.66,25.54,19.08,16.02,12.26,10.81,10.22,9.92,11.02,84.47,61.48,43.01,33.33,25.0,18.66,16.36,12.38,11.37,10.43,9.65,10.8,86.5,57.9,41.97,30.21,22.95,19.86,14.42,13.29,11.28,9.68,9.46,10.99,64.53,48.87,38.17,27.9,22.91,18.25,14.84,13.85,10.77,10.27,9.15,9.97
7,44.07,30.33,22.12,17.15,13.91,10.59,9.25,6.98,6.72,4.95,5.08,6.08,65.39,39.13,28.52,19.31,14.16,12.02,8.53,8.03,6.5,5.93,5.52,6.16,65.36,44.73,30.83,21.56,16.02,12.15,9.69,7.9,7.04,5.99,5.43,6.29,61.47,46.55,31.85,22.48,16.75,12.56,10.3,7.66,6.88,6.01,5.35,6.76,64.03,47.71,31.67,22.33,16.94,12.51,10.2,7.97,7.84,5.91,6.01,6.62,65.82,43.85,29.56,21.75,14.52,11.88,9.74,7.77,6.68,4.91,5.3,6.09,46.96,35.56,26.58,19.51,14.75,11.04,8.89,7.46,6.6,5.76,5.24,5.55
8,118.58,101.2,82.33,64.57,49.23,39.37,29.9,24.22,19.29,16.14,14.05,12.86,173.35,131.9,98.82,73.1,55.6,42.64,33.63,26.05,21.01,17.85,14.82,14.59,183.8,146.81,110.04,79.54,60.04,45.19,35.83,27.47,22.54,18.58,16.23,14.87,189.89,157.97,115.96,81.92,61.01,47.28,36.4,27.9,22.71,18.68,16.11,15.35,202.89,162.82,112.11,81.76,61.28,45.46,35.01,28.3,21.87,18.31,15.46,15.15,221.72,143.98,104.1,76.45,56.19,43.12,32.74,25.83,21.11,17.55,14.91,14.44,162.61,116.89,88.41,65.87,49.86,39.21,29.91,24.08,19.61,15.7,13.82,12.7
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,12.47,8.95,6.64,4.92,3.6,2.86,2.25,1.78,1.47,1.15,1.05,0.99,17.66,11.13,7.84,5.71,4.29,3.18,2.52,1.97,1.62,1.26,1.13,1.13,16.28,12.55,8.58,6.25,4.63,3.4,2.64,2.19,1.68,1.36,1.18,1.17,15.03,12.32,9.18,6.27,4.72,3.57,2.75,2.11,1.71,1.34,1.21,1.16,15.18,12.03,8.87,6.17,4.62,3.5,2.72,2.07,1.68,1.38,1.17,1.15,14.22,10.8,8.02,6.02,4.41,3.21,2.52,1.99,1.64,1.38,1.15,1.05,9.27,8.3,6.78,4.92,3.88,3.38,2.27,1.91,1.52,1.18,1.04,0.96
