,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
0,21.88,24.16,32.93,41.76,36.6,29.88,23.04,18.59,12.55,12.44,8.17,9.08,37.32,35.77,38.66,43.87,39.51,27.39,21.98,17.36,13.03,11.68,9.53,11.58,33.72,33.35,33.92,35.84,33.27,25.5,20.02,13.19,11.38,10.62,9.72,10.6,27.75,25.72,26.91,26.48,20.9,23.45,17.17,15.62,13.92,9.43,9.13,9.8,24.79,21.48,23.23,23.08,21.54,19.08,16.19,15.02,11.57,9.48,9.44,7.7,20.9,17.86,19.08,17.73,19.51,17.05,14.6,11.47,9.32,8.86,7.62,8.2,15.27,13.61,14.95,13.62,15.54,13.03,11.3,10.49,8.23,7.18,7.04,5.69
1,24.13,24.83,65.22,74.51,68.63,61.58,47.53,47.57,26.07,35.74,27.07,18.48,31.75,30.15,64.55,76.27,82.44,67.56,50.86,47.61,48.37,28.25,23.05,25.3,31.87,27.42,74.9,99.25,73.23,66.89,67.26,47.21,37.35,42.02,28.8,28.33,31.58,34.55,95.03,78.81,100.22,82.89,55.79,55.31,37.04,33.37,32.01,31.73,31.31,33.86,74.87,97.28,79.43,56.56,65.32,33.67,31.08,35.25,31.33,31.04,29.89,25.42,71.37,80.61,69.98,73.88,59.88,43.83,38.82,27.9,20.38,27.38,20.8,26.79,62.46,64.99,69.25,63.29,62.84,29.48,32.87,24.32,16.35,22.36
2,322.72,343.86,672.96,885.95,960.72,640.43,505.59,368.26,288.89,268.58,159.7,174.41,424.16,420.89,592.31,785.58,723.66,572.92,370.53,340.66,248.95,199.35,216.34,184.8,383.03,356.91,511.78,661.95,710.18,519.78,425.55,369.08,273.98,194.85,170.67,218.53,358.12,317.58,414.15,578.19,528.91,429.44,384.76,290.68,220.97,185.02,204.54,154.48,327.9,265.06,447.5,473.42,478.6,381.51,306.43,237.41,213.62,187.19,165.7,178.0,306.82,255.14,323.03,305.92,348.41,310.45,215.94,226.28,187.88,170.94,128.34,147.67,236.51,216.72,241.69,265.48,243.76,244.09,208.77,189.65,157.42,137.03,117.06,126.74
3,408.84,400.96,743.53,7420.5,7081.57,641.68,695.9,436.83,413.23,332.43,306.88,312.7,497.08,442.64,629.79,7239.7,7184.73,853.3,670.11,434.05,377.36,427.3,303.16,318.84,482.62,390.32,625.88,7164.23,7259.55,822.05,566.6,447.52,406.89,334.06,304.88,294.82,435.33,366.68,761.44,7194.91,7262.57,825.05,582.55,487.73,415.53,289.63,315.1,317.37,429.88,360.34,537.65,7086.54,7045.62,861.23,519.8,480.33,376.47,277.03,274.08,242.05,413.55,334.37,475.54,6908.9,704.55,577.66,477.04,396.74,276.43,288.32,234.24,233.49,324.47,280.57,450.33,458.5,491.24,448.23,325.84,312.36,238.84,202.03,219.77,202.99
4,408.26,336.28,569.44,8500.5,700.58,693.86,536.17,417.45,369.67,338.94,287.67,288.74,510.12,443.46,646.77,8440.18,1033.68,600.04,621.32,491.57,419.27,304.24,258.5,304.53,485.84,399.32,699.19,8887.75,1031.02,900.07,713.23,440.19,418.86,360.54,330.85,327.46,512.62,386.65,590.34,8590.96,1199.75,744.92,774.24,480.09,479.15,365.05,332.68,283.62,513.83,441.21,747.42,8669.41,913.3,897.3,703.72,557.63,428.41,403.92,345.66,333.49,522.81,374.25,681.81,8647.53,988.88,937.49,700.47,536.03,323.3,369.23,308.19,330.32,400.2,354.89,594.72,8371.1,815.07,629.28,599.48,394.81,349.27,327.49,294.54,256.65
5,403.49,348.41,455.53,490.39,568.32,520.93,454.9,346.5,306.42,259.44,214.25,224.66,497.03,414.21,583.4,8615.61,694.66,625.69,554.7,525.78,391.67,282.46,248.97,260.47,510.25,445.03,619.64,8750.88,8918.69,786.35,640.73,485.17,433.95,322.98,303.96,265.54,505.95,480.07,825.86,8854.87,9116.13,739.35,671.49,585.91,427.84,433.93,338.62,330.85,548.42,508.52,779.5,9058.41,9184.94,1062.43,855.16,605.6,468.12,367.16,343.04,315.48,572.37,512.56,912.62,8972.89,9140.5,969.19,785.19,523.1,411.64,385.13,318.08,370.66,485.24,458.65,1026.29,9360.58,9222.14,862.44,618.14,637.53,366.22,281.93,269.08,275.29
6,93.97,93.07,207.43,292.68,245.08,214.54,163.85,211.12,108.9,63.74,111.79,91.37,124.55,123.89,284.73,259.71,295.29,251.04,202.18,196.7,127.16,127.26,106.01,119.09,125.83,112.72,360.89,455.7,380.44,308.35,268.55,198.21,144.31,141.44,127.0,127.49,124.04,136.08,341.61,529.65,449.54,312.02,295.38,278.52,242.01,146.62,126.46,145.87,122.52,135.15,310.13,387.13,470.38,389.78,249.52,278.72,195.66,162.66,135.55,133.71,129.91,157.97,334.0,448.65,518.72,348.06,306.46,213.43,200.73,168.26,126.14,138.52,88.72,125.26,261.78,405.66,435.52,421.33,242.79,214.72,197.27,156.01,96.11,95.69
7,72.45,68.71,135.63,192.85,173.32,146.57,109.14,99.83,102.88,92.84,75.69,82.3,102.16,94.44,177.43,213.55,233.86,184.4,135.8,117.88,138.79,92.58,79.26,51.8,105.53,85.6,185.65,326.85,251.14,243.03,217.99,126.19,136.17,90.99,93.88,104.7,104.92,98.33,221.36,329.26,277.23,209.22,244.05,189.67,127.17,118.72,132.29,71.39,111.55,105.11,186.61,313.84,310.66,215.78,248.26,169.99,133.65,115.23,117.87,93.92,113.0,104.84,267.01,377.14,366.03,316.17,230.92,169.07,153.42,139.1,103.0,118.5,72.11,93.11,237.01,309.72,372.7,253.9,304.58,188.85,164.43,106.63,109.84,99.84
8,228.28,220.03,219.52,235.76,179.27,190.59,161.46,147.88,101.06,91.39,75.49,70.83,288.79,250.66,281.65,303.16,253.11,240.91,171.14,126.86,165.23,109.72,86.41,65.58,350.92,321.84,309.07,348.18,302.38,256.05,218.01,174.98,127.46,94.58,94.43,71.0,416.68,390.83,398.92,431.78,365.13,283.29,219.51,178.19,135.33,100.72,91.95,75.35,453.31,501.7,502.96,560.16,427.5,334.22,223.79,167.88,136.11,100.26,94.33,90.04,488.86,482.71,599.03,585.37,522.63,337.77,254.88,163.94,131.21,119.56,96.19,72.64,326.43,353.47,462.42,542.24,464.47,319.43,229.91,187.32,135.92,106.77,75.37,80.93
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
