,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
0,294.16,241.28,202.73,75.85,52.53,39.55,31.03,20.47,18.69,14.17,12.92,13.52,273.61,219.65,197.49,60.28,55.1,39.72,32.52,17.54,17.32,14.59,13.89,10.26,265.63,218.73,191.7,58.8,46.87,33.54,24.96,20.53,16.71,13.02,12.38,14.04,262.58,209.97,63.82,46.18,36.21,28.23,21.52,19.43,15.51,13.31,10.02,12.14,253.67,80.04,45.46,35.71,26.5,19.39,20.17,14.88,13.44,11.54,10.26,11.24,229.91,57.95,39.32,26.75,25.04,23.82,19.1,16.56,11.39,10.85,10.0,10.46,57.51,38.69,29.32,23.11,22.9,19.94,16.97,13.58,11.06,10.73,9.61,8.95
1,22.72,27.83,54.53,94.62,73.82,51.09,53.94,34.08,37.07,28.11,24.74,25.64,32.44,29.59,78.09,87.01,77.11,65.55,53.03,41.74,31.83,25.59,36.48,25.02,31.55,27.56,82.33,85.52,78.57,86.9,69.23,41.8,34.62,20.21,23.62,31.12,30.1,29.28,99.64,104.38,83.24,66.26,51.72,55.04,37.07,33.42,33.97,31.03,30.02,29.21,72.66,81.33,76.53,85.01,51.14,48.14,36.32,25.22,23.22,33.67,28.74,27.9,56.45,94.44,64.33,63.23,48.19,43.02,35.8,22.4,30.43,24.82,21.34,20.33,53.6,72.42,66.55,65.58,42.76,35.03,33.13,34.91,23.74,22.92
2,325.23,346.63,545.04,982.36,851.4,653.34,606.11,312.03,330.12,199.32,227.59,198.45,414.09,414.35,693.41,753.75,804.6,603.92,503.79,351.84,276.42,267.08,216.71,208.74,385.32,344.08,499.18,635.67,575.36,566.16,326.77,341.67,246.65,232.83,196.56,191.45,344.56,306.56,466.64,588.73,577.94,480.42,385.52,292.33,191.04,206.03,173.55,167.19,323.63,286.41,407.54,487.2,536.41,378.21,323.29,280.62,205.83,190.69,172.34,162.34,304.39,257.25,309.6,373.47,308.32,327.03,274.07,215.29,178.46,162.83,139.34,146.7,243.19,204.66,257.57,260.52,253.84,268.11,210.19,203.0,181.45,149.99,122.15,131.42
3,390.89,390.1,663.18,7288.12,7219.34,711.85,649.55,467.23,330.24,322.52,350.74,235.74,484.06,458.74,726.99,7197.08,7260.2,940.01,571.27,470.34,270.95,333.3,293.66,299.31,476.17,408.19,711.96,7154.91,7375.12,837.2,539.18,474.47,367.75,379.39,242.89,255.53,440.96,394.0,628.73,7105.05,7095.68,720.47,674.94,569.37,323.16,346.38,295.13,292.76,415.27,348.44,686.34,7094.57,7128.73,639.08,628.25,440.69,298.47,291.63,266.59,272.54,399.14,347.72,546.01,6919.98,722.41,540.43,480.71,341.01,295.47,284.06,253.34,232.6,331.71,297.89,379.63,536.87,433.92,447.91,399.13,313.61,264.82,216.16,200.86,207.81
4,419.9,350.91,506.76,8521.28,763.03,751.95,535.73,462.5,324.34,318.86,290.78,272.97,538.36,430.87,580.56,8588.44,913.69,891.42,635.08,554.51,340.39,384.04,310.67,326.63,513.59,423.17,849.23,8792.23,1062.99,865.06,822.88,550.48,434.82,390.45,352.58,326.09,498.87,455.44,821.95,8800.88,1190.98,973.9,758.46,519.06,412.26,340.21,319.51,352.91,516.53,401.47,756.82,8747.78,926.67,918.9,788.84,547.69,413.53,406.47,414.85,323.27,506.46,386.36,743.73,8527.17,1011.59,817.56,673.47,670.91,387.04,334.51,349.35,358.28,426.46,355.01,483.09,8455.0,789.84,684.74,585.65,493.74,365.71,273.13,292.22,280.94
5,11162.98,1942.17,1514.83,1186.67,857.68,809.21,642.69,550.0,460.8,385.07,348.68,320.5,12736.29,11245.15,2202.83,9655.23,1349.85,1001.76,818.83,650.01,451.24,428.01,391.25,393.52,12931.52,11616.97,2496.54,9849.83,9523.06,1283.96,854.94,794.1,599.15,501.61,391.14,433.5,13025.64,11717.33,2538.51,10009.66,9727.79,1307.18,1157.72,667.27,676.27,553.79,469.91,471.18,13041.89,11760.29,2614.89,10042.11,9758.38,1523.38,1199.06,851.99,615.09,561.53,478.16,498.25,13020.81,11699.23,2743.73,10077.36,9749.31,1465.0,1001.11,954.38,626.89,537.07,469.6,454.69,12562.29,11646.35,2515.15,10213.21,9884.83,1473.95,1067.25,919.94,640.81,460.68,437.94,453.01
6,1894.95,999.68,714.37,527.53,406.96,400.81,285.37,248.38,149.85,184.89,127.79,137.06,2967.35,1489.08,846.45,682.33,514.59,396.3,290.37,247.24,189.39,144.37,153.64,130.76,3133.25,1773.42,1141.1,805.85,641.34,434.49,384.13,278.18,200.93,205.05,155.26,179.27,3137.47,1894.35,1108.74,864.2,716.31,546.6,413.69,285.33,257.38,149.84,189.57,160.81,3145.35,1862.92,1284.61,777.77,705.22,498.77,480.95,315.3,256.5,185.12,210.28,183.96,3062.35,1746.04,1188.25,835.68,692.55,527.74,284.52,286.54,186.93,199.08,215.53,186.06,2512.65,1542.15,1026.46,840.14,712.79,583.57,394.51,309.26,372.2,176.62,188.91,170.56
7,69.83,63.26,133.73,174.88,167.78,139.2,124.06,103.68,71.99,80.22,79.08,86.8,100.31,94.86,204.2,185.59,235.56,177.98,175.5,132.18,108.11,90.22,83.26,67.61,101.87,87.84,207.19,254.09,237.21,217.48,189.48,156.25,139.1,79.91,113.85,91.06,102.27,92.83,264.91,309.72,294.62,225.73,191.13,185.12,143.26,141.79,100.69,86.36,104.28,114.82,259.79,298.56,316.24,298.25,200.85,175.08,125.43,127.81,116.52,101.72,105.16,104.4,251.2,303.31,370.25,279.73,233.18,181.16,146.5,124.32,121.68,86.65,73.05,73.3,279.17,276.55,275.82,324.71,166.4,217.31,156.62,92.41,74.24,103.16
8,785.92,446.12,347.49,346.27,269.09,242.35,212.65,167.32,145.76,119.72,104.52,99.9,3198.89,620.5,444.19,349.47,321.5,276.41,235.46,186.32,159.95,131.8,112.56,97.28,3380.43,774.89,592.11,491.36,367.07,340.77,248.14,198.65,161.65,138.3,108.21,117.02,3479.2,2718.65,682.49,509.0,496.35,375.03,314.29,211.86,152.65,126.94,120.98,119.9,3546.57,2827.51,2547.34,644.01,578.72,436.16,268.61,214.06,167.45,132.2,122.99,114.89,3639.24,2929.59,2698.04,843.01,602.14,447.82,320.3,221.59,199.55,124.19,114.89,121.18,3861.66,3138.3,2630.6,683.42,486.11,399.76,231.28,202.13,163.09,138.29,100.4,116.98
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
