,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
0,502.07,532.23,509.15,448.19,148.18,98.01,69.5,50.82,42.49,32.81,27.33,28.11,457.16,461.8,424.81,195.75,134.12,92.69,67.89,48.74,39.87,30.66,26.93,28.13,430.52,416.76,196.6,153.06,111.41,81.26,59.73,45.33,35.82,28.98,26.6,28.54,412.66,380.3,162.38,122.96,93.28,71.35,53.28,43.43,33.21,28.44,25.61,25.29,397.71,163.25,126.84,99.2,74.38,60.5,47.24,37.01,31.26,26.93,23.71,24.37,179.39,122.25,95.37,79.69,62.4,53.58,42.1,33.46,28.25,24.03,22.42,22.09,91.61,82.91,75.66,67.09,56.52,47.04,38.63,31.07,25.96,22.82,19.82,19.84
1,9981.17,10296.59,9959.52,9400.87,8556.39,1307.88,783.88,580.88,447.91,343.61,303.56,290.6,9350.83,9306.89,8926.19,8308.57,1640.17,1102.56,745.9,547.94,428.02,346.89,310.15,309.06,8993.77,8782.67,8348.61,1836.31,1321.75,965.33,704.52,534.59,420.15,333.03,297.42,299.53,8712.63,8490.35,7980.08,1461.91,1067.77,801.61,626.52,474.92,375.0,311.4,288.33,277.83,8562.52,8078.32,1592.58,1194.29,936.21,697.71,560.44,436.13,366.37,303.12,272.48,276.07,8262.36,1549.77,1171.83,929.67,769.91,613.45,499.64,399.39,331.41,271.4,252.88,237.44,1162.73,1007.99,894.08,780.13,654.88,543.63,470.86,365.55,305.62,259.55,217.67,223.3
2,8592.19,8646.51,8212.87,7539.99,6603.84,1166.26,835.84,628.32,498.84,387.21,319.95,302.6,8477.05,8255.46,7703.94,7134.26,6486.75,1124.57,814.64,608.31,461.61,362.39,312.72,326.09,8309.48,8089.43,7572.96,6954.11,6369.69,1056.38,737.97,571.26,448.07,370.57,316.65,320.64,8251.47,7912.19,7322.63,6775.44,1282.81,909.2,687.47,528.7,404.59,336.18,297.92,293.42,8148.41,7701.32,6958.85,1450.18,1043.02,786.92,583.98,463.88,368.09,305.99,276.26,278.48,7912.01,2096.07,1433.47,1085.24,797.83,634.27,497.59,401.56,316.34,278.4,242.91,237.3,1496.14,1194.41,1004.09,798.57,669.34,540.88,428.92,358.52,276.98,234.96,220.2,224.49
3,2384.86,1949.89,1467.07,1046.9,790.94,580.54,412.32,300.28,260.52,208.72,191.74,163.45,3050.66,2383.13,1752.92,1204.89,821.0,591.21,443.37,325.19,252.06,195.27,190.55,182.41,3151.83,2539.74,1848.77,1303.52,917.54,663.77,449.76,312.23,253.85,205.72,186.45,191.92,3175.44,2590.41,1887.66,1324.14,946.1,682.3,464.39,304.5,252.49,208.88,205.44,187.28,3127.62,2540.94,1803.08,1281.89,878.26,612.0,432.08,317.76,251.73,195.21,179.13,190.7,3023.39,2254.41,1599.95,1158.07,764.1,607.88,416.59,329.06,241.25,205.62,164.75,184.88,2096.5,1682.93,1251.23,942.76,674.5,460.18,375.18,287.29,210.89,182.07,151.94,154.57
4,13901.91,13286.99,12584.29,11944.58,1737.71,1316.66,1001.6,755.83,632.41,488.64,415.98,412.92,14872.42,14174.57,13309.48,12349.3,2050.25,1482.92,1140.87,798.93,658.89,505.04,453.05,447.8,14955.79,14461.22,13496.28,12494.68,2218.53,1564.3,1147.25,854.93,687.08,565.61,482.13,479.8,14980.17,14498.29,13553.87,12529.73,2260.57,1659.48,1205.97,917.89,663.64,547.23,475.32,483.88,14920.12,14386.63,13446.89,12497.63,2155.16,1574.11,1190.3,848.61,679.3,526.42,463.74,476.09,14801.26,14095.16,13075.58,12177.95,1944.77,1419.24,1036.01,792.58,613.55,473.08,439.27,439.22,13617.29,12838.48,12224.47,11615.96,1607.6,1216.2,921.62,726.87,557.49,470.85,396.4,376.78
5,3106.78,2411.13,1819.52,1323.48,946.31,702.29,554.04,429.82,318.97,226.98,229.47,229.96,4309.71,3323.77,2349.65,1693.02,1125.24,808.75,615.57,361.29,347.58,286.15,248.32,249.26,4541.58,3710.31,2691.44,1846.63,1262.16,846.57,606.22,439.49,409.81,333.87,262.59,270.58,4535.41,3849.82,2786.8,1988.54,1296.87,1020.33,632.45,498.86,359.03,306.15,257.21,295.36,4502.4,3782.46,2702.53,1975.48,1283.38,983.22,683.67,536.29,404.39,281.03,239.52,259.67,4337.15,3513.57,2541.41,1765.73,1195.2,915.21,621.84,505.35,371.67,288.97,260.73,280.79,3392.89,2795.43,2170.54,1647.41,1064.7,818.73,581.45,494.81,403.91,275.18,242.91,228.34
6,2690.87,1997.34,1490.66,1134.55,839.5,621.56,447.5,343.26,269.98,238.46,208.95,200.67,4136.5,3076.55,2102.21,1451.42,982.98,735.6,547.73,421.76,297.81,263.37,226.33,232.47,4339.06,3512.53,2543.02,1710.32,1171.28,865.57,583.02,423.14,360.87,257.21,244.72,246.98,4347.47,3722.24,2725.78,1924.57,1307.45,898.71,617.7,451.01,378.44,299.51,253.74,224.08,4388.75,3648.22,2705.11,1867.14,1348.27,958.16,678.43,474.96,309.68,305.71,259.64,252.77,4261.86,3440.28,2561.24,1872.62,1341.43,912.32,630.88,545.39,412.34,291.35,265.7,256.98,3500.4,2902.72,2293.34,1723.61,1217.42,882.32,669.19,502.06,351.0,293.1,238.97,247.83
7,2005.11,1532.3,1135.34,890.53,620.65,478.14,359.56,289.09,210.79,179.61,178.11,160.74,3288.36,2329.45,1546.39,1117.42,795.71,603.32,425.33,332.41,270.89,198.9,184.51,191.0,3565.3,2814.02,1957.88,1335.73,904.51,685.05,441.17,363.73,268.19,228.16,193.72,235.21,3629.89,2985.81,2229.39,1475.73,1025.13,700.0,542.09,394.62,300.68,249.7,209.34,203.37,3640.44,3086.46,2350.85,1645.94,1148.61,768.28,625.4,409.8,349.97,247.08,226.46,214.36,3577.15,2989.24,2233.25,1585.41,1141.68,782.92,600.32,442.78,329.31,246.11,226.76,213.63,2991.31,2612.32,2106.77,1558.78,1147.75,873.59,559.77,512.29,299.99,239.43,230.73,251.09
8,1408.95,1218.21,1037.62,863.63,707.22,579.25,459.18,379.89,293.84,247.21,212.38,204.85,6740.32,1735.58,1315.08,1033.4,819.43,654.52,514.7,410.48,341.0,269.67,240.34,230.9,7107.9,2291.53,1711.94,1269.5,977.17,734.26,575.79,443.37,355.94,291.0,258.7,242.95,7267.38,6904.31,2098.26,1558.52,1163.11,862.3,635.04,478.49,370.2,293.15,265.98,259.34,7529.41,7297.09,6738.31,1880.38,1398.78,970.19,693.25,509.47,381.52,304.53,262.89,245.34,7934.7,7832.82,7347.18,2487.01,1746.9,1099.39,710.71,493.99,375.54,307.01,263.01,260.85,8485.25,8780.19,8447.74,7892.97,2353.93,1084.58,730.69,539.72,374.5,314.4,252.25,233.84
9,679.62,564.04,457.97,361.4,288.52,232.37,179.82,138.31,113.29,92.71,82.87,77.26,1078.81,774.99,566.64,436.99,329.84,254.65,189.86,153.31,121.31,97.08,88.14,86.39,1589.77,952.18,708.48,521.22,381.08,283.56,214.08,160.46,121.85,109.93,95.6,94.41,1666.93,1099.23,836.67,598.6,443.34,322.46,233.82,180.16,140.63,112.44,98.87,96.15,1740.14,1578.32,948.7,700.49,477.83,349.79,243.17,179.65,147.65,107.42,99.3,97.79,1839.56,1707.83,1110.12,778.31,523.75,355.36,249.27,188.98,137.19,117.52,102.05,94.6,1915.71,1950.47,1744.58,845.57,498.35,347.26,252.77,184.1,141.07,111.97,97.61,89.79
