,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
0,15.67,10.95,8.24,6.15,4.74,3.66,2.76,2.28,1.85,1.47,1.28,1.28,22.15,14.08,9.73,7.03,5.26,4.02,3.13,2.42,1.95,1.63,1.41,1.31,19.91,15.53,10.59,7.66,5.61,4.28,3.28,2.56,2.08,1.64,1.47,1.39,18.79,15.79,11.35,7.84,5.98,4.3,3.36,2.7,2.09,1.75,1.52,1.47,18.43,15.2,11.0,7.82,5.64,4.35,3.34,2.6,2.05,1.72,1.52,1.46,17.66,13.14,9.67,7.3,5.41,4.21,3.32,2.49,1.99,1.66,1.41,1.35,11.85,10.29,8.15,6.23,4.89,3.75,2.87,2.36,1.86,1.49,1.31,1.24
1,286.11,214.77,169.59,131.88,102.25,80.21,64.13,52.66,43.8,35.85,31.43,31.46,348.79,243.39,182.79,142.16,110.65,85.97,69.76,56.19,45.72,38.81,34.1,34.74,328.73,259.04,195.33,148.6,117.61,91.51,74.39,59.1,49.35,41.92,36.77,36.37,315.4,258.64,198.81,151.83,117.14,95.12,76.42,61.11,50.09,42.01,37.25,36.63,306.12,251.05,192.75,149.95,116.67,91.85,73.63,60.97,48.34,42.02,37.88,36.92,290.73,232.86,179.39,141.35,108.3,87.87,69.81,56.57,46.49,39.42,35.84,34.98,218.95,196.57,161.61,128.7,104.63,80.65,65.5,53.12,44.39,37.58,32.28,29.2
2,733.84,234.21,155.77,117.87,92.15,72.95,60.91,48.58,40.16,33.72,31.89,31.55,838.48,242.3,153.9,119.7,94.36,75.24,61.77,51.12,41.75,36.25,32.06,36.34,835.17,257.34,165.29,122.65,99.13,79.55,63.42,51.03,48.16,37.8,35.01,35.97,807.83,244.88,165.6,128.92,98.79,79.1,68.86,52.54,48.5,37.69,35.09,35.07,814.4,257.18,165.51,122.83,97.3,78.31,65.69,51.33,43.31,37.4,33.77,36.52,831.07,233.8,156.28,118.21,95.97,75.06,60.64,49.51,42.06,36.25,32.59,34.43,470.54,181.24,137.3,111.2,87.57,71.26,57.73,47.33,40.44,33.26,28.91,30.71
3,805.12,137.18,62.62,54.07,41.15,27.98,36.08,26.32,17.38,15.62,14.71,16.85,1012.09,226.06,96.21,56.21,51.86,33.06,21.96,18.46,17.34,15.44,15.31,24.34,1032.12,251.58,102.82,59.4,37.57,41.51,22.81,31.77,24.53,15.93,15.81,25.97,1038.87,243.66,76.63,83.83,37.9,32.19,34.69,19.04,30.98,16.69,16.55,19.78,1047.37,215.5,108.35,61.02,44.14,26.46,37.05,26.38,16.53,16.43,21.36,19.56,983.53,229.89,59.31,66.1,50.91,33.56,29.3,25.33,16.69,15.75,15.15,19.02,719.63,181.28,75.23,53.64,48.71,32.91,24.26,21.27,16.99,15.11,14.89,17.82
4,2261.64,583.88,288.1,239.29,182.62,133.14,105.67,99.79,78.2,62.02,53.68,55.92,2750.23,726.56,345.72,253.7,168.41,136.03,118.65,99.86,81.05,65.57,59.05,65.09,2783.6,757.4,408.08,234.59,183.27,149.58,120.2,98.51,81.85,73.01,63.25,68.04,2789.64,748.86,381.78,247.74,183.9,155.19,120.87,115.75,92.17,71.74,70.14,68.53,2759.69,757.75,379.34,246.83,189.03,148.05,118.76,103.12,85.07,77.0,68.98,66.83,2723.32,722.75,351.21,218.76,186.73,141.99,126.0,93.33,81.28,67.45,60.11,65.43,2140.41,588.54,332.18,218.9,168.37,130.73,106.57,87.35,73.46,64.75,55.55,59.74
5,1244.97,235.24,169.6,83.25,76.95,52.76,39.58,35.02,30.61,20.66,25.96,22.5,1652.07,273.15,176.57,92.67,76.02,55.28,29.71,25.2,22.73,20.17,21.11,34.13,1698.1,285.15,155.88,74.88,69.5,55.46,32.42,37.08,30.63,21.46,22.02,37.12,1570.24,337.74,152.0,96.64,59.83,65.14,31.32,36.55,33.32,22.98,29.65,26.86,1663.35,433.67,169.14,73.65,81.19,44.81,58.53,27.66,31.45,21.78,20.82,25.05,1659.88,335.53,108.92,84.23,53.38,47.43,40.9,35.26,23.2,29.48,29.2,25.83,1259.9,249.76,119.15,128.44,53.46,47.2,42.51,28.56,25.01,19.96,19.97,23.91
6,697.23,162.39,69.03,44.64,57.39,30.02,24.87,22.54,19.41,18.14,23.47,18.33,1123.66,171.62,108.84,44.39,43.38,36.99,24.84,22.25,19.16,17.81,24.29,20.73,1022.44,291.39,90.22,69.99,36.63,40.9,26.15,20.88,19.85,18.19,17.94,29.2,1001.08,252.18,111.87,58.65,37.68,39.06,33.71,23.48,19.66,18.12,18.04,21.9,1021.34,194.25,134.96,61.85,37.69,49.51,26.68,31.22,27.13,17.88,17.83,23.4,984.8,205.99,85.79,68.13,39.13,40.62,26.8,22.88,19.68,17.21,18.43,21.8,828.57,260.79,98.57,50.31,62.29,33.06,27.56,23.83,28.78,17.46,17.62,20.92
7,86.86,59.14,45.12,31.03,24.79,20.41,17.16,13.8,11.98,10.56,10.09,12.25,121.02,59.1,42.87,31.56,25.65,20.16,17.43,14.3,12.66,11.07,16.36,12.59,172.89,64.66,45.63,34.08,26.58,20.96,17.94,14.86,13.22,11.88,11.67,13.83,196.77,74.34,58.13,34.94,26.39,21.05,17.82,15.44,12.47,12.03,11.39,13.87,128.64,94.58,56.16,40.13,26.39,21.81,17.58,14.73,13.14,12.12,12.06,14.4,155.7,75.49,56.38,33.09,25.82,21.46,18.03,15.31,13.32,11.5,11.43,13.6,124.17,53.63,43.2,41.65,28.7,22.35,19.13,15.6,12.98,11.51,11.41,12.55
8,188.04,163.38,135.92,109.92,84.27,68.2,53.79,41.89,35.23,29.51,26.38,24.74,264.29,204.76,156.26,122.76,94.72,73.54,58.18,47.32,38.09,31.58,28.12,27.31,278.54,224.44,170.31,128.9,98.36,77.86,61.77,48.66,41.54,34.24,30.55,28.78,287.95,238.51,176.6,134.09,99.63,79.09,61.92,50.37,41.53,33.37,30.36,29.12,306.24,247.19,173.92,129.44,98.72,77.71,61.42,50.31,39.39,33.84,29.88,28.42,341.23,222.29,163.24,123.06,94.92,72.65,57.7,46.47,38.46,31.66,28.34,26.86,254.02,190.22,147.09,112.92,86.77,66.44,52.99,42.14,34.57,28.22,25.17,24.17
9,44.38,36.94,31.75,24.57,21.12,13.7,9.84,8.29,6.34,5.2,3.9,3.86,70.43,50.25,40.08,26.2,20.35,15.2,10.56,9.22,6.89,5.86,4.84,4.45,75.71,60.29,45.95,31.42,20.94,15.93,11.91,9.29,7.43,6.26,4.93,4.33,76.97,69.48,46.77,31.06,22.31,16.09,11.92,9.67,8.01,6.27,5.17,4.59,84.19,67.9,46.19,30.24,21.76,16.06,12.1,9.55,7.53,5.64,5.63,4.48,96.65,64.2,38.81,27.94,20.22,15.3,11.27,9.6,7.14,5.67,4.96,4.27,64.15,45.35,34.15,24.77,18.13,13.39,9.87,8.04,6.14,5.2,4.54,4.06
