,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
0,30.91,32.07,47.83,61.31,51.17,36.02,30.03,21.2,18.07,14.62,15.3,12.89,51.18,48.81,54.24,54.32,47.0,43.66,27.15,22.87,19.66,15.02,12.39,13.83,44.16,45.13,49.35,49.15,42.29,37.6,27.37,18.5,16.29,15.97,11.77,12.16,37.69,35.19,36.21,34.46,30.85,24.95,23.24,18.26,16.72,15.59,11.98,13.5,32.86,27.9,29.29,28.06,29.21,25.18,20.6,19.07,13.26,12.85,11.58,10.11,28.98,25.06,24.42,23.12,24.28,22.11,19.99,13.91,12.59,12.14,12.05,10.26,20.98,18.69,21.73,21.64,17.07,18.33,16.26,13.69,13.23,10.0,9.46,8.33
1,497.19,597.32,937.62,1563.07,1411.07,620.98,355.03,269.06,219.6,188.36,168.01,133.15,703.64,730.81,833.39,1021.58,695.28,452.56,364.59,264.36,238.17,162.96,173.35,159.65,628.96,578.85,653.97,731.21,541.52,481.96,364.83,288.11,218.9,161.95,150.0,139.14,520.73,466.83,492.97,514.23,430.87,411.28,297.7,267.52,204.97,165.57,152.08,142.45,472.24,387.09,381.94,480.7,344.03,313.77,275.05,231.32,169.35,184.08,132.66,139.4,407.04,344.0,340.35,383.14,338.92,300.89,275.1,190.16,167.33,141.43,117.67,131.24,305.57,293.38,344.44,291.37,308.13,257.1,202.0,176.73,158.29,128.04,116.21,108.99
2,804.89,447.35,825.36,5917.23,5731.43,540.98,418.34,338.48,292.54,220.11,196.56,192.34,1021.54,499.04,632.99,5659.46,5622.5,546.29,463.78,348.25,270.67,229.61,210.42,198.24,933.05,468.39,559.58,5624.08,5544.31,552.57,386.34,304.06,202.73,197.41,187.25,178.87,932.03,506.92,516.04,5455.19,491.46,442.91,365.45,237.08,233.35,176.39,168.97,168.34,903.12,307.3,452.69,514.54,473.76,395.3,291.62,248.26,226.15,227.73,145.49,148.98,852.55,291.63,356.82,370.96,380.78,284.82,273.06,207.09,153.7,159.54,136.48,129.38,563.54,258.0,260.58,305.37,277.99,219.87,201.68,193.08,153.25,130.42,121.37,125.61
3,865.77,218.45,332.01,395.57,305.97,263.8,261.09,168.54,149.38,115.4,72.36,104.77,1060.04,329.86,346.69,535.93,474.95,339.33,261.36,245.59,206.59,147.63,135.13,128.14,1064.88,283.39,363.08,435.89,302.05,287.46,276.67,171.88,188.51,170.06,140.8,102.82,1069.18,338.31,372.35,457.98,482.56,354.76,238.34,173.01,173.18,141.37,139.02,118.45,1076.48,333.7,442.14,472.06,465.41,361.51,280.33,188.71,158.73,177.84,107.39,117.57,1058.4,327.98,366.52,403.2,336.69,270.44,235.42,196.4,184.82,142.79,92.43,116.4,762.78,225.49,294.87,357.27,312.06,267.84,281.39,189.8,112.82,86.22,115.47,101.87
4,2394.34,688.59,772.07,10376.78,817.88,665.27,513.3,441.06,346.07,269.43,236.79,245.64,2691.32,878.04,1065.46,10621.32,975.95,800.76,543.45,540.56,375.41,298.34,297.26,281.17,2885.63,805.0,1116.81,10516.98,1098.56,910.25,636.84,481.33,363.72,307.39,321.33,312.85,2772.83,838.88,968.0,10607.7,967.27,901.44,740.47,463.5,392.04,363.15,338.34,329.43,2788.79,925.38,1087.05,10584.07,1091.33,792.64,719.4,458.85,395.64,334.81,341.41,288.46,2823.31,764.47,946.59,10624.06,975.73,771.15,621.65,444.39,407.41,310.37,269.1,273.93,2160.63,672.81,742.13,10361.86,806.0,715.47,533.78,405.16,379.6,268.95,267.44,254.11
5,1265.72,424.36,448.02,512.9,454.08,413.33,362.96,270.24,219.52,171.0,148.96,105.35,1687.47,413.23,562.31,584.54,589.59,428.69,327.8,173.85,279.6,138.65,189.51,163.7,1769.69,467.37,612.07,665.95,554.77,474.24,343.46,333.0,172.4,161.31,148.66,154.39,1713.67,537.23,743.29,773.6,628.58,534.71,327.89,265.26,304.35,166.13,184.25,155.39,1670.28,452.46,602.12,726.93,636.7,441.84,464.61,339.51,220.21,137.47,152.71,219.35,1710.01,599.51,509.0,567.32,600.05,459.1,382.74,337.38,221.94,163.59,217.94,160.6,1307.93,382.91,541.15,530.54,534.79,357.45,400.07,353.02,269.05,191.8,189.51,147.89
6,702.8,233.02,316.75,335.59,349.14,285.17,332.28,151.84,177.19,158.66,109.74,127.4,981.76,328.47,399.84,490.27,412.32,395.52,311.29,266.57,149.4,181.67,158.35,144.1,1096.33,369.64,458.98,643.51,549.94,412.02,345.9,278.05,210.61,216.33,185.48,196.45,1044.58,337.23,611.47,632.51,566.31,554.58,435.93,309.02,233.03,217.68,204.84,178.6,1118.97,351.28,505.91,722.71,549.23,494.61,422.38,232.42,177.51,174.58,194.7,188.76,1050.14,310.09,627.71,673.94,594.64,472.87,351.92,280.7,242.69,162.71,183.01,151.65,881.72,393.39,565.15,386.3,600.21,500.28,386.98,249.92,303.14,203.0,140.8,138.87
7,163.03,121.6,200.37,279.06,276.43,259.47,215.11,131.65,149.9,106.71,107.16,89.77,194.19,138.0,320.18,311.6,321.02,203.58,185.92,178.75,153.97,114.33,83.72,95.66,235.85,162.86,275.84,331.75,301.03,255.76,211.85,220.89,147.33,141.65,131.35,133.27,199.0,148.48,392.63,519.4,436.08,405.86,289.78,225.89,188.61,100.72,117.52,151.82,229.76,162.29,342.16,548.68,464.27,347.65,281.79,267.92,197.69,166.05,145.03,163.14,223.07,160.21,379.69,521.18,588.58,432.51,308.4,224.78,168.07,174.11,116.16,140.92,164.07,144.98,342.23,494.02,486.27,447.91,281.7,276.42,139.22,146.63,129.03,145.84
8,304.22,260.9,327.39,334.32,291.19,250.01,223.99,199.1,147.7,111.57,115.66,99.42,403.13,352.38,372.03,393.63,330.99,289.19,229.36,199.15,155.17,133.99,118.75,113.87,446.23,401.05,456.06,493.44,419.27,380.21,262.73,227.94,194.29,128.67,118.11,132.23,526.54,496.02,560.42,598.01,504.49,394.27,322.26,206.41,205.99,171.31,137.15,132.29,645.45,602.14,674.53,736.8,662.03,478.91,334.21,227.74,201.03,157.86,123.69,136.43,727.7,793.59,840.14,1000.01,811.96,463.63,379.92,280.49,186.83,145.98,135.79,128.14,482.68,517.72,861.92,1344.83,1284.44,558.64,354.69,290.03,168.13,167.09,137.01,125.26
9,94.81,87.48,89.72,110.39,117.25,105.23,82.92,57.04,47.98,36.79,35.95,34.79,128.88,110.83,130.79,148.5,113.25,114.08,78.12,70.53,59.25,45.57,39.09,36.71,151.61,128.57,146.12,150.9,127.22,125.61,85.14,85.43,90.63,42.43,35.87,42.86,170.38,153.24,181.9,178.32,162.31,135.73,128.13,90.09,58.24,54.94,42.14,42.6,191.54,190.41,202.71,182.45,157.18,141.92,116.8,74.95,57.34,53.64,38.96,43.11,228.51,202.69,224.01,219.73,170.9,150.02,107.09,77.83,52.82,53.24,44.86,45.61,134.82,136.62,177.17,165.67,157.1,121.03,102.47,70.33,63.55,52.77,45.15,48.22
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,13.67,13.59,25.58,28.71,27.24,22.23,14.84,13.66,11.67,8.06,7.47,7.7,21.39,21.15,28.3,26.72,25.11,21.12,17.18,14.07,11.01,8.78,9.1,8.54,19.63,18.96,25.3,27.39,24.75,23.5,13.3,12.78,9.27,7.77,7.3,7.39,17.27,16.06,17.25,19.34,21.89,18.97,15.71,11.16,8.67,8.12,7.33,6.83,15.38,13.61,16.73,17.38,18.43,13.44,11.54,10.29,9.39,6.98,7.24,6.7,13.51,11.07,13.72,15.59,14.16,11.11,11.37,8.79,7.12,7.69,6.11,6.27,9.3,8.56,10.58,11.25,11.93,12.89,8.83,9.36,8.35,6.28,5.06,4.58
12,107.11,125.22,280.14,360.95,380.01,220.8,131.21,122.06,107.43,93.14,79.33,71.14,157.03,154.32,238.91,279.56,262.8,206.57,159.0,113.0,100.72,99.77,68.89,72.13,138.56,131.88,191.44,247.95,247.46,207.88,153.66,112.24,75.82,63.24,69.36,66.34,119.33,109.01,164.79,210.95,187.88,175.41,137.67,107.21,86.29,60.63,54.07,63.92,112.77,102.78,131.16,129.14,146.94,146.38,104.24,82.82,70.12,70.18,65.19,57.41,104.82,83.63,119.65,117.63,147.17,112.58,84.48,79.71,52.45,65.61,54.72,53.98,74.81,68.44,92.83,104.2,94.9,105.12,76.82,69.45,65.95,52.19,51.92,50.17
13,702.57,268.35,607.31,2418.8,2368.15,507.08,315.14,281.27,193.62,189.8,145.37,156.02,743.0,329.72,516.33,2380.16,2341.09,471.97,387.82,249.87,240.57,192.5,164.16,119.02,791.13,256.92,423.75,2489.54,2360.65,415.59,333.26,258.23,209.33,164.0,162.94,140.71,737.45,248.62,383.96,2278.9,429.09,356.47,271.9,254.2,203.28,156.75,142.0,108.09,718.77,193.33,353.21,359.93,306.93,293.92,244.01,200.89,176.15,136.9,128.01,132.2,721.24,185.43,243.52,306.8,288.89,262.36,208.5,180.27,151.22,112.01,107.49,111.67,428.79,176.84,242.7,212.74,232.9,193.48,185.76,126.19,114.4,94.02,112.51,94.32
14,1612.43,506.91,649.65,882.87,711.75,669.09,488.78,431.53,374.2,229.08,149.89,216.88,1912.84,573.24,725.66,877.31,655.07,696.02,597.4,346.31,340.95,224.14,213.24,236.92,1834.08,511.89,737.36,944.69,837.87,697.44,528.93,420.44,269.3,262.55,228.33,229.79,1831.5,565.48,689.11,916.45,853.45,663.05,536.22,400.2,324.37,224.85,222.39,193.71,1883.31,539.09,639.91,733.69,806.53,589.4,461.31,343.99,180.15,215.72,207.53,208.4,1830.46,462.99,519.11,694.0,390.47,471.41,350.55,272.61,225.97,205.38,137.94,177.04,1207.8,354.44,400.04,435.48,407.87,337.83,272.9,235.86,189.0,158.36,151.8,153.87
15,609.74,175.98,264.34,209.81,180.46,179.19,166.55,118.14,88.61,76.93,73.43,72.91,811.39,257.84,235.85,231.03,233.29,183.3,153.41,119.15,95.21,72.59,76.92,74.26,803.75,235.95,282.84,278.74,263.07,191.12,157.74,120.6,133.11,86.18,80.77,76.78,791.19,219.67,255.16,295.99,303.43,171.53,153.74,114.64,106.23,93.39,95.7,77.02,814.5,268.95,295.18,290.76,257.33,193.52,133.33,140.19,88.11,80.77,81.03,72.06,798.02,203.66,256.88,287.81,218.65,218.03,146.72,146.31,115.51,85.6,80.28,67.85,567.54,170.53,212.37,229.36,201.92,173.66,139.96,124.03,69.18,90.05,69.26,57.21
16,584.36,169.82,253.47,212.66,213.42,191.95,123.32,134.95,106.69,86.18,73.94,73.83,838.17,272.16,321.96,352.04,230.15,253.3,202.28,151.54,86.07,85.53,106.97,86.06,821.51,227.23,318.7,309.36,234.95,244.12,176.83,97.15,118.03,95.46,80.58,96.51,855.73,219.48,347.11,330.92,259.21,185.25,182.82,136.06,102.36,87.98,96.08,79.62,821.6,299.71,309.71,321.11,298.06,200.6,190.52,140.43,93.61,96.06,84.73,87.65,807.94,200.34,269.6,328.1,275.11,187.67,200.32,112.46,75.76,68.19,86.41,95.54,609.6,193.99,256.13,258.89,238.09,185.92,142.44,134.31,96.25,105.66,57.78,67.62
17,899.22,341.55,424.92,485.01,424.88,309.14,305.75,219.78,162.39,167.69,163.42,161.29,1530.64,392.02,491.69,410.45,609.22,529.09,378.09,313.87,259.48,210.92,177.29,190.45,1550.69,461.59,728.73,613.73,684.18,575.69,386.82,350.81,250.36,206.75,210.16,193.9,1576.34,465.72,824.4,4499.84,787.58,731.15,527.07,449.93,308.76,226.56,222.3,214.51,1623.84,573.97,776.52,4244.6,1155.86,712.58,566.18,465.13,302.66,289.69,241.85,260.94,1586.37,543.73,968.66,4511.83,809.21,613.51,574.83,465.14,336.06,261.19,266.03,230.18,1415.04,513.17,1052.56,4596.22,979.33,751.25,437.92,453.76,346.05,262.19,192.27,242.71
18,229.8,207.43,294.55,319.15,300.52,245.83,222.58,173.06,148.0,128.13,106.78,130.73,312.07,231.08,384.34,360.71,362.04,310.02,274.14,165.86,167.52,145.33,139.65,137.26,336.65,315.33,444.35,423.69,454.76,333.15,321.88,215.63,187.71,130.53,167.87,130.81,400.26,338.67,439.87,689.11,482.16,429.05,362.18,285.89,219.67,196.29,154.37,158.35,410.5,342.37,593.8,3464.64,702.05,457.25,395.74,275.49,239.91,199.36,171.94,196.45,453.47,379.57,684.97,3561.24,3517.33,642.26,462.69,325.24,252.01,210.13,186.32,162.44,336.13,421.35,755.49,3925.81,3532.58,685.4,506.54,383.0,300.31,265.04,186.54,185.14
19,35.49,39.01,82.09,86.26,75.81,74.81,64.13,76.48,39.59,46.85,43.1,26.04,48.35,40.38,116.09,103.77,121.9,89.97,65.4,51.24,53.62,35.86,44.77,38.36,49.09,47.27,118.38,135.72,142.52,95.19,82.0,62.26,43.68,46.71,52.51,39.29,46.6,47.32,116.63,158.54,149.25,112.02,76.82,47.49,53.27,48.19,41.63,40.7,46.24,45.96,79.75,143.35,160.86,120.04,74.96,72.05,51.25,58.31,38.17,32.27,47.6,52.57,113.29,131.37,113.47,96.71,116.74,73.63,46.47,67.46,46.66,41.3,34.57,41.27,95.49,120.21,148.61,110.2,96.07,74.78,80.76,28.38,36.77,38.34
20,94.75,89.49,103.87,123.93,103.41,80.15,78.09,61.72,56.77,41.16,37.35,39.14,134.37,108.7,134.59,141.82,108.88,112.75,107.39,67.71,57.81,51.54,37.97,36.13,154.46,135.85,155.62,162.25,155.22,141.09,86.75,76.52,62.91,50.95,46.3,41.32,168.67,155.74,198.23,199.78,174.85,122.11,110.33,108.59,59.03,63.63,41.13,44.11,202.97,179.67,220.96,180.63,199.16,139.98,110.23,86.96,68.03,59.3,54.94,44.67,221.33,191.37,237.2,212.68,205.08,159.28,128.9,75.22,84.07,59.27,39.54,48.41,135.71,128.06,175.59,220.52,178.93,143.82,97.11,92.17,68.71,49.78,50.03,43.89
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,34.06,38.35,55.33,65.12,44.74,36.16,25.29,19.09,18.88,15.07,11.2,12.41,56.98,53.6,63.01,63.15,48.4,40.38,29.54,25.04,17.95,15.43,14.89,13.86,50.13,48.52,51.27,44.51,44.43,33.55,28.98,25.08,21.68,15.01,14.57,12.35,42.59,40.14,40.69,36.71,36.53,31.23,28.67,19.21,18.72,14.81,11.83,11.24,34.88,32.61,31.5,31.96,28.43,29.41,23.18,18.18,15.21,13.22,12.29,10.46,32.33,24.46,27.8,24.31,23.18,21.65,19.69,17.19,10.92,13.11,11.53,9.74,22.34,20.73,21.39,21.55,22.78,17.83,15.67,12.93,12.17,11.89,10.03,10.23
