,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
0,30.66,34.87,43.93,55.47,42.83,34.99,23.66,30.63,16.6,13.43,14.08,12.7,49.44,49.36,56.63,58.11,47.33,38.24,30.56,23.8,15.4,14.49,12.71,12.62,45.84,41.96,46.35,47.87,45.61,33.67,27.09,21.4,17.61,15.8,12.48,11.24,38.2,35.08,35.78,34.93,35.55,28.2,20.64,17.88,12.96,15.77,13.08,11.5,34.05,29.71,28.1,29.09,27.75,20.83,19.7,18.26,13.51,11.8,11.95,11.37,28.26,22.93,23.22,24.25,23.93,20.56,16.82,14.09,12.97,10.27,10.84,10.71,20.69,18.79,18.61,19.25,20.14,17.28,16.35,13.75,11.98,10.33,8.68,8.02
1,467.91,607.46,1026.9,1616.1,1374.96,690.95,333.73,282.06,213.93,179.35,157.88,145.55,705.24,692.82,817.27,937.69,767.74,497.12,358.19,251.47,240.77,189.21,166.92,142.74,611.3,573.88,608.3,700.79,637.3,420.89,289.08,280.73,233.36,172.3,150.03,153.38,534.47,482.68,491.49,487.86,484.72,365.39,305.69,236.66,180.01,185.17,151.3,141.39,440.15,407.26,400.7,423.19,320.2,294.82,260.16,221.46,170.72,146.85,133.35,144.99,422.72,366.97,360.93,381.26,347.81,313.19,240.28,197.09,176.21,139.65,129.59,138.53,314.4,290.09,290.45,294.61,276.8,242.81,208.14,179.51,145.62,116.93,99.75,120.88
2,8422.73,7958.44,2295.06,6797.7,6138.31,937.52,706.38,555.61,435.95,345.07,281.74,298.1,8322.4,7684.33,2071.66,6532.42,6096.36,859.97,696.95,545.81,418.28,333.79,294.49,260.01,8197.84,7522.82,1970.81,6594.64,6075.91,946.83,597.24,453.01,406.96,323.02,284.45,288.29,8127.47,7455.69,1800.61,6314.81,1006.56,714.92,571.48,455.79,348.43,279.77,254.31,273.96,8038.92,7185.83,1554.51,1061.17,920.48,650.44,512.27,379.15,330.76,252.03,248.72,223.54,7827.14,1778.87,1150.28,896.78,642.18,562.28,443.59,349.49,288.54,240.73,211.27,220.9,1409.59,963.79,765.16,666.34,539.42,431.66,369.92,279.0,257.25,225.8,197.88,184.62
3,796.79,227.0,323.59,415.92,414.34,277.26,247.05,130.55,166.06,103.91,115.41,93.34,1062.31,293.89,417.63,464.36,372.79,352.3,228.04,207.05,144.81,94.51,124.74,78.87,1048.64,315.2,443.47,413.75,418.88,289.1,277.05,182.39,132.32,127.04,93.0,109.73,1069.16,305.52,389.37,454.46,346.4,387.84,275.65,192.59,137.93,126.78,87.51,120.5,1056.47,320.82,333.19,436.49,416.69,297.56,264.78,230.82,168.65,155.0,96.34,105.64,1022.7,307.6,357.78,477.29,340.84,287.25,200.73,204.72,197.48,119.7,168.82,99.92,723.27,220.07,281.01,292.29,330.02,265.22,202.21,202.8,145.1,135.59,132.65,92.44
4,13772.16,12798.99,2272.68,11470.98,1547.14,1248.97,897.1,710.35,574.14,501.79,411.25,378.02,14744.96,13580.17,2970.99,11765.72,1663.73,1307.79,1027.13,766.92,630.28,511.3,447.54,446.23,14821.93,13782.08,3266.02,11990.02,1993.21,1450.73,1095.81,789.77,644.8,560.42,473.2,452.36,14784.46,13728.69,3455.22,12170.2,1901.97,1566.11,1158.58,847.36,655.11,527.68,489.03,486.79,14814.7,13819.34,3281.71,11737.92,1919.67,1452.71,1044.0,840.26,637.28,528.16,466.34,451.32,14690.63,13323.29,2911.71,11707.1,1579.9,1304.92,973.33,812.02,569.69,504.52,448.74,435.85,13460.7,12492.49,2291.6,11417.1,1461.8,969.58,885.33,690.22,570.48,458.19,396.76,385.43
5,2961.94,1990.47,1480.94,1067.5,859.65,634.84,575.74,369.87,349.77,256.7,232.99,223.62,4220.61,2741.17,1933.26,1350.04,949.9,762.32,534.06,505.09,366.51,269.21,231.8,234.86,4321.98,3004.56,1960.45,1514.82,1191.04,802.59,671.53,405.6,342.34,315.62,268.21,263.86,4380.38,3020.18,2288.05,1523.41,1116.49,842.95,649.93,413.93,356.06,314.65,286.7,266.7,4346.57,3056.92,2130.1,1561.96,1182.19,850.5,637.7,460.98,350.01,316.31,259.77,254.37,4220.43,2793.72,1962.54,1477.24,1025.27,734.14,614.25,443.22,357.88,289.9,242.1,254.5,3289.23,2230.32,1803.75,1361.36,1069.35,735.8,581.31,434.92,386.98,279.98,228.93,249.32
6,2551.42,1683.8,1341.4,1011.84,758.66,612.06,396.35,393.39,323.94,239.7,208.27,204.4,3991.81,2530.59,1786.93,1150.83,895.15,687.97,514.63,434.55,308.94,229.09,211.71,240.0,4153.37,2903.3,1954.76,1338.7,1102.06,735.72,573.15,395.6,359.06,276.33,255.61,263.57,4183.29,2958.73,2072.36,1608.85,1178.01,772.48,629.89,494.59,355.27,245.1,265.73,271.36,4184.58,2998.68,2135.0,1606.86,1140.32,892.3,578.47,464.6,359.92,289.72,266.09,275.36,4083.54,2839.64,2091.32,1571.1,1175.27,829.44,627.29,471.65,406.12,302.91,262.83,250.67,3380.08,2460.54,1778.24,1575.55,1074.34,873.22,575.01,425.13,403.36,316.15,258.03,246.02
7,145.77,127.46,213.93,259.6,242.17,218.86,171.74,123.36,148.83,101.03,74.78,100.09,221.29,183.88,311.83,377.59,251.58,261.22,216.19,236.56,140.88,161.58,151.42,82.5,173.42,174.02,306.99,371.91,328.77,304.76,276.28,159.0,169.03,139.39,157.33,135.8,228.56,161.17,376.1,429.31,458.98,333.45,278.49,246.12,162.48,140.1,155.53,128.11,220.34,195.37,427.21,483.47,425.12,409.63,342.64,238.47,153.27,156.15,185.01,129.98,216.83,169.03,455.24,437.53,449.93,372.82,297.08,264.19,195.54,178.79,124.4,161.11,151.69,151.87,356.51,494.09,461.07,476.22,266.64,277.02,171.39,193.51,148.45,144.56
8,296.9,289.16,290.15,307.13,324.7,258.12,221.28,165.66,132.92,128.6,106.81,99.99,408.91,337.58,429.05,393.04,321.18,273.02,240.18,208.56,140.32,128.99,125.24,122.24,467.84,435.64,459.58,500.82,401.36,339.73,266.77,220.6,172.5,144.46,118.89,127.41,543.45,485.93,508.87,509.92,530.17,408.42,294.67,273.69,197.83,135.5,137.77,115.9,622.76,602.49,671.1,788.16,505.01,435.83,332.14,272.49,185.2,161.76,149.31,122.41,697.52,746.35,920.03,1052.29,906.94,586.89,415.73,262.82,211.71,158.29,119.65,110.61,486.17,540.86,900.41,1248.4,1234.5,575.09,343.42,214.07,179.66,163.39,132.87,115.34
9,399.3,175.23,154.25,167.2,122.76,100.31,90.61,71.02,60.49,50.36,48.32,43.19,675.62,243.6,177.94,181.22,145.36,116.94,129.33,88.83,69.04,53.38,52.33,46.07,1091.55,291.48,231.32,196.39,171.8,155.21,129.43,79.23,72.3,61.18,55.18,54.25,1138.09,322.31,242.47,230.48,185.17,171.72,117.43,85.64,79.14,55.83,55.84,47.24,1158.37,750.84,266.69,264.37,191.79,142.44,127.08,106.65,72.32,70.33,52.64,58.76,1197.81,755.01,308.91,266.61,201.66,172.16,122.75,92.34,66.07,67.18,54.84,53.87,1229.43,802.64,701.69,248.27,194.02,146.26,130.14,116.58,73.64,57.04,56.1,53.41
