,Date/Time,ROOM:Zone Lights Electric Energy [J](Hourly),ROOM:Zone Electric Equipment Electric Energy [J](Hourly),PLENUM:Zone Mean Air Temperature [C](Hourly),ROOM:Zone Mean Air Temperature [C](Hourly),ROOM IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),ROOM IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly) 
7, 01/01  08:00:00,0.0,0.0,-5.841131613840357,10.002122384457797,64844.87216939274,0.0
8, 01/01  09:00:00,0.0,0.0,-5.115374656854609,10.280615650927123,0.0,0.0
9, 01/01  10:00:00,0.0,0.0,-3.027520173580383,10.6463896462912,0.0,0.0
10, 01/01  11:00:00,0.0,0.0,0.1693158739095005,12.043488041081767,0.0,0.0
11, 01/01  12:00:00,0.0,0.0,3.3530031272744414,13.670227956728242,0.0,0.0
12, 01/01  13:00:00,0.0,0.0,4.780571288744329,14.358169891991803,0.0,0.0
13, 01/01  14:00:00,0.0,0.0,8.396018129980241,15.971746264602064,0.0,0.0
14, 01/01  15:00:00,0.0,0.0,10.578946280115435,18.022004583720122,0.0,0.0
15, 01/01  16:00:00,0.0,0.0,10.761570250766605,18.7005159822475,0.0,0.0
16, 01/01  17:00:00,0.0,0.0,7.112957055824605,17.929170858598358,0.0,0.0
17, 01/01  18:00:00,0.0,0.0,5.3514524119782765,16.783840702385177,0.0,0.0
7, 01/02  08:00:00,340200.0,567000.0,-4.528856530410149,20.061293645958255,3025510.211497427,0.0
8, 01/02  09:00:00,680400.0,1134000.0,-3.7885514333807,20.00000000013158,911551.3515806235,0.0
9, 01/02  10:00:00,680400.0,1134000.0,-2.5589826332795598,20.000000000000036,550922.8703791468,0.0
10, 01/02  11:00:00,0.0,1134000.0,0.363978322397786,20.00000000000001,442883.59504788264,0.0
11, 01/02  12:00:00,544320.0000000001,1134000.0,2.840736846795252,20.47428781459318,0.0,0.0
12, 01/02  13:00:00,680400.0,1134000.0,6.0084246816245175,21.90157198374321,0.0,0.0
13, 01/02  14:00:00,0.0,1134000.0,9.359387497704533,22.73109039033125,0.0,0.0
14, 01/02  15:00:00,0.0,1134000.0,11.207606820639555,25.063106545464336,0.0,0.0
15, 01/02  16:00:00,680400.0,1134000.0,11.444337282508068,25.99999998277734,0.0,907430.412700922
16, 01/02  17:00:00,340200.0,567000.0,10.15723631731207,25.046168241917844,0.0,0.0
17, 01/02  18:00:00,136080.00000000006,226800.0,8.48144883677339,23.169529787689928,0.0,0.0
7, 01/03  08:00:00,340200.0,567000.0,0.8344158623769778,20.083575330222693,1971529.6818415243,0.0
