,Date/Time,ROOM:Zone Lights Electric Energy [J](Hourly),ROOM:Zone Electric Equipment Electric Energy [J](Hourly),PLENUM:Zone Mean Air Temperature [C](Hourly),ROOM:Zone Mean Air Temperature [C](Hourly),ROOM IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),ROOM IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly) 
7, 01/01  08:00:00,0.0,0.0,-5.807190798210193,10.0,2075534.9526601024,0.0
8, 01/01  09:00:00,0.0,0.0,-4.821866347904441,10.0,1735883.9193171256,0.0
9, 01/01  10:00:00,0.0,0.0,-2.3213472506905797,10.0,1775904.3867927927,0.0
10, 01/01  11:00:00,0.0,0.0,1.1120816647347151,10.0,1335365.4720157092,0.0
11, 01/01  12:00:00,0.0,0.0,4.251340568966726,10.0,909581.3637876677,0.0
12, 01/01  13:00:00,0.0,0.0,4.998628940902218,10.0,646556.8366349661,0.0
13, 01/01  14:00:00,0.0,0.0,9.597428936010118,10.0,289094.4889647449,0.0
14, 01/01  15:00:00,0.0,0.0,11.601683422928346,10.0,122974.42335763846,0.0
15, 01/01  16:00:00,0.0,0.0,10.916489522203115,10.0,350275.1366689877,0.0
16, 01/01  17:00:00,0.0,0.0,6.498932279964813,10.0,497681.0292274222,0.0
17, 01/01  18:00:00,0.0,0.0,4.764647052920537,10.0,675108.571750843,0.0
7, 01/02  08:00:00,340200.0,567000.0,-4.438546428687489,20.028781730245132,5430597.1117195785,0.0
8, 01/02  09:00:00,680400.0,1134000.0,-3.507033906697964,19.99999999999999,3419969.807624075,0.0
9, 01/02  10:00:00,680400.0,1134000.0,-2.251563912429822,20.0,2730924.8653430818,0.0
10, 01/02  11:00:00,680400.0,1134000.0,1.283263080972021,20.0,1881289.9737180138,0.0
11, 01/02  12:00:00,544320.0000000001,1134000.0,3.032808577948995,20.0,1891481.1759347012,0.0
12, 01/02  13:00:00,680400.0,1134000.0,6.351685446558975,20.000000000000004,830152.2277135297,0.0
13, 01/02  14:00:00,680400.0,1134000.0,10.78098582926608,20.036540675022415,143068.6102819058,0.0
14, 01/02  15:00:00,680400.0,1134000.0,12.474917316600342,20.31034627239025,0.0,0.0
15, 01/02  16:00:00,680400.0,1134000.0,11.902128330717225,20.065722105450174,0.0,0.0
16, 01/02  17:00:00,340200.0,567000.0,9.573645932051683,20.00017979443818,1184781.0558463992,0.0
17, 01/02  18:00:00,136080.00000000006,226800.0,7.831752003853979,19.99999999999999,2062914.867664984,0.0
7, 01/03  08:00:00,340200.0,567000.0,0.8091818559257623,20.030526232727226,5138194.8826116165,0.0
8, 01/03  09:00:00,680400.0,1134000.0,0.6157835578788112,20.0,3093157.409117654,0.0
9, 01/03  10:00:00,680400.0,1134000.0,0.20689723996891848,20.0,2532838.534073723,0.0
10, 01/03  11:00:00,680400.0,1134000.0,2.1149802749941373,20.0,1910004.0861972729,0.0
