,Date/Time,ROOM:Zone Lights Electric Energy [J](Hourly),ROOM:Zone Electric Equipment Electric Energy [J](Hourly),PLENUM:Zone Mean Air Temperature [C](Hourly),ROOM:Zone Mean Air Temperature [C](Hourly),ROOM IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),ROOM IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly) 
7, 01/01  08:00:00,0.0,0.0,-5.789884339512162,10.0,1803524.2266378417,0.0
8, 01/01  09:00:00,0.0,0.0,-4.772684968089979,10.0,1444481.8318531488,0.0
9, 01/01  10:00:00,0.0,0.0,-2.2461631252597014,10.0,1412485.8034349785,0.0
10, 01/01  11:00:00,0.0,0.0,1.2966760040926906,10.0,794920.01515322,0.0
11, 01/01  12:00:00,0.0,0.0,4.5103099325597995,10.013691122839276,128878.10078507314,0.0
12, 01/01  13:00:00,0.0,0.0,5.310079589421886,10.160798127342593,0.0,0.0
13, 01/01  14:00:00,0.0,0.0,9.874926609468409,10.835518043675338,0.0,0.0
14, 01/01  15:00:00,0.0,0.0,11.888490891892516,11.603011920463526,0.0,0.0
15, 01/01  16:00:00,0.0,0.0,11.201416470640147,11.094084151567726,0.0,0.0
16, 01/01  17:00:00,0.0,0.0,6.637115104882582,10.00000000421426,225399.2247796448,0.0
17, 01/01  18:00:00,0.0,0.0,4.835431980494214,10.0,450303.86077669327,0.0
7, 01/02  08:00:00,340200.0,567000.0,-4.4277237229785165,20.03655646913749,4940282.450797779,0.0
8, 01/02  09:00:00,680400.0,1134000.0,-3.464594900352088,20.0,2921053.8563659987,0.0
9, 01/02  10:00:00,680400.0,1134000.0,-2.165733028172568,20.0,2220651.591031701,0.0
10, 01/02  11:00:00,680400.0,1134000.0,1.4240724746130835,20.00000000000001,1216363.8834233016,0.0
11, 01/02  12:00:00,544320.0000000001,1134000.0,3.2572885729421266,20.00000000000001,1252615.89423853,0.0
12, 01/02  13:00:00,680400.0,1134000.0,6.582689545971546,20.01729300968417,257709.0186317744,0.0
13, 01/02  14:00:00,0.0,1134000.0,11.036916552992297,20.084360912405547,146716.1473019541,0.0
14, 01/02  15:00:00,680400.0,1134000.0,12.796134851348688,21.771776564353257,0.0,0.0
15, 01/02  16:00:00,680400.0,1134000.0,12.26468568703774,21.615368678914567,0.0,0.0
16, 01/02  17:00:00,340200.0,567000.0,9.754168015257557,20.022437642285933,704225.92230262,0.0
17, 01/02  18:00:00,136080.00000000006,226800.0,7.945931801064027,20.000000000000004,1708734.200040214,0.0
7, 01/03  08:00:00,340200.0,567000.0,0.8256154552973617,20.03961858500196,4634603.282290926,0.0
8, 01/03  09:00:00,680400.0,1134000.0,0.6594730550894184,19.99999999999999,2546734.5762709337,0.0
9, 01/03  10:00:00,680400.0,1134000.0,0.2906874469801357,20.0,1932694.1876939728,0.0
10, 01/03  11:00:00,0.0,1134000.0,2.249505903507314,20.000000000000004,1818612.7914620545,0.0
11, 01/03  12:00:00,0.0,1134000.0,2.4915761967546253,20.00000000000001,1400598.024668584,0.0
12, 01/03  13:00:00,0.0,1134000.0,4.936540776533518,19.999999902273636,554956.9481538031,0.0
13, 01/03  14:00:00,680400.0,1134000.0,4.575851376117116,20.598999804673145,0.0,0.0
14, 01/03  15:00:00,680400.0,1134000.0,0.41499088865062933,20.380008422027874,0.0,0.0
15, 01/03  16:00:00,680400.0,1134000.0,-1.4555605882234952,20.000000000000025,469959.1660579074,0.0
16, 01/03  17:00:00,340200.0,567000.0,-2.385484196996059,20.0,1997674.6082152044,0.0
17, 01/03  18:00:00,136080.00000000006,226800.0,-3.451167414315419,19.999999999999982,3302103.870920065,0.0
7, 01/04  08:00:00,340200.0,567000.0,-9.244896334168004,20.02253708156023,6314367.825023131,0.0
8, 01/04  09:00:00,680400.0,1134000.0,-7.60827929734702,20.0,4026108.829462759,0.0
9, 01/04  10:00:00,680400.0,1134000.0,-6.019714091048622,20.0,2826120.532626322,0.0
10, 01/04  11:00:00,680400.0,1134000.0,-3.8745739446334024,20.00000000000001,1686565.875099572,0.0
