,Date/Time,ROOM:Zone Lights Electric Energy [J](Hourly),ROOM:Zone Electric Equipment Electric Energy [J](Hourly),PLENUM:Zone Mean Air Temperature [C](Hourly),ROOM:Zone Mean Air Temperature [C](Hourly),ROOM IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),ROOM IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly) 
7, 01/01  08:00:00,0.0,0.0,-5.807316409714941,10.0,1463569.4162243882,0.0
8, 01/01  09:00:00,0.0,0.0,-4.772684967409544,10.0,1444481.8277963598,0.0
9, 01/01  10:00:00,0.0,0.0,-2.246163124169186,10.0,1412485.7915899907,0.0
10, 01/01  11:00:00,0.0,0.0,1.2966760047808692,10.0,794920.010734334,0.0
11, 01/01  12:00:00,0.0,0.0,4.195002033342096,11.652000574841425,0.0,0.0
12, 01/01  13:00:00,0.0,0.0,5.3100795906463585,10.160798148594175,0.0,0.0
13, 01/01  14:00:00,0.0,0.0,9.874926609897507,10.835518053144801,0.0,0.0
14, 01/01  15:00:00,0.0,0.0,11.888490891944304,11.603011924963528,0.0,0.0
15, 01/01  16:00:00,0.0,0.0,11.227854569582648,14.326869453623509,0.0,0.0
16, 01/01  17:00:00,0.0,0.0,6.637115104882582,10.00000000421426,225399.2247796448,0.0
17, 01/01  18:00:00,0.0,0.0,4.835431980494214,10.0,450303.86077669327,0.0
7, 01/02  08:00:00,340200.0,567000.0,-4.456570937714113,20.06437378957116,4358766.842807186,0.0
8, 01/02  09:00:00,680400.0,1134000.0,-3.550600291345449,20.000000000087688,1951197.888332593,0.0
9, 01/02  10:00:00,680400.0,1134000.0,-2.259583737196876,20.000000000000018,1280390.719196944,0.0
10, 01/02  11:00:00,0.0,1134000.0,1.1097344478717357,20.00000000000001,1031569.6175477908,0.0
11, 01/02  12:00:00,544320.0000000001,1134000.0,3.2572885729421266,20.00000000000001,1252615.89423853,0.0
12, 01/02  13:00:00,680400.0,1134000.0,6.473784787951669,20.883617641336397,0.0,0.0
13, 01/02  14:00:00,0.0,1134000.0,10.578514747826363,21.21976627173805,0.0,0.0
