,Date/Time,ROOM:Zone Lights Electric Energy [J](Hourly),ROOM:Zone Electric Equipment Electric Energy [J](Hourly),PLENUM:Zone Mean Air Temperature [C](Hourly),ROOM:Zone Mean Air Temperature [C](Hourly),ROOM IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),ROOM IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly) 
7, 01/01  08:00:00,0.0,0.0,2.7392632859803214,10.0,675439.9429316797,0.0
8, 01/01  09:00:00,0.0,0.0,3.621229385124905,9.999999999999991,346184.1889535503,0.0
9, 01/01  10:00:00,0.0,0.0,6.0179016035269965,10.000000000000002,412177.15565138025,0.0
10, 01/01  11:00:00,0.0,0.0,7.91856850325379,10.037074501952269,54649.59954828755,0.0
11, 01/01  12:00:00,0.0,0.0,9.646345931610007,10.54509205145115,0.0,0.0
12, 01/01  13:00:00,0.0,0.0,10.779580255911307,11.064933066004672,0.0,0.0
13, 01/01  14:00:00,0.0,0.0,10.01572966441925,11.00551785083343,0.0,0.0
14, 01/01  15:00:00,0.0,0.0,10.28980294345906,10.688731466027333,0.0,0.0
15, 01/01  16:00:00,0.0,0.0,11.779494641693047,10.361075889203759,0.0,0.0
16, 01/01  17:00:00,0.0,0.0,9.810170163681613,10.026073068776265,26299.87689205019,0.0
17, 01/01  18:00:00,0.0,0.0,8.215939029061495,10.000000000000867,137410.50539276196,0.0
7, 01/02  08:00:00,340200.0,567000.0,2.6361578852022136,20.082951440667586,3042862.005421457,0.0
8, 01/02  09:00:00,680400.0,1134000.0,4.307105773361687,20.000000006472284,566717.3518011223,0.0
9, 01/02  10:00:00,680400.0,1134000.0,6.465221294353433,20.161415679198587,10129.399482823042,0.0
10, 01/02  11:00:00,680400.0,1134000.0,8.42069157338788,21.054518989679988,0.0,0.0
11, 01/02  12:00:00,544320.0000000001,1134000.0,9.919957002030346,20.99477198910937,0.0,0.0
12, 01/02  13:00:00,680400.0,1134000.0,14.426580261764581,22.34761252271518,0.0,0.0
13, 01/02  14:00:00,680400.0,1134000.0,17.341064799761007,23.28976022301076,0.0,0.0
14, 01/02  15:00:00,680400.0,1134000.0,18.364271028742465,23.40016501369873,0.0,0.0
15, 01/02  16:00:00,680400.0,1134000.0,16.863423628708926,22.687068336451127,0.0,0.0
16, 01/02  17:00:00,340200.0,567000.0,15.365775243612706,20.964848825095448,0.0,0.0
17, 01/02  18:00:00,136080.00000000006,226800.0,14.235086738094989,20.035807577576676,346281.00456069264,0.0
7, 01/03  08:00:00,340200.0,567000.0,4.716772708072381,20.094390560973398,3238469.4567895313,0.0
8, 01/03  09:00:00,680400.0,1134000.0,5.703027696625424,19.99999998556592,1089755.272710362,0.0
9, 01/03  10:00:00,680400.0,1134000.0,8.689001866258732,20.00235265735527,227043.98732180306,0.0
10, 01/03  11:00:00,680400.0,1134000.0,10.078714542746502,20.3723948189942,0.0,0.0
11, 01/03  12:00:00,544320.0000000001,1134000.0,14.062861067623224,20.758230335740446,0.0,0.0
12, 01/03  13:00:00,680400.0,1134000.0,12.660317919956313,21.66368027880181,0.0,0.0
13, 01/03  14:00:00,680400.0,1134000.0,12.323274892052169,21.67022440841284,0.0,0.0
14, 01/03  15:00:00,680400.0,1134000.0,12.394012253312345,21.654725982982697,0.0,0.0
15, 01/03  16:00:00,680400.0,1134000.0,9.102284698694104,20.889328002968323,0.0,0.0
16, 01/03  17:00:00,340200.0,567000.0,7.079784520892222,20.00146528914578,1027635.1262355781,0.0
17, 01/03  18:00:00,136080.00000000006,226800.0,5.3880063048668685,20.0,1971498.00278584,0.0
7, 01/04  08:00:00,340200.0,567000.0,3.883594562329647,20.08898183786938,2962718.156441165,0.0
8, 01/04  09:00:00,680400.0,1134000.0,6.025047322242693,20.00000000002116,296424.9619497043,0.0
9, 01/04  10:00:00,680400.0,1134000.0,7.846839802248108,20.56959034293685,0.0,0.0
10, 01/04  11:00:00,680400.0,1134000.0,10.675786222496788,21.703120368098322,0.0,0.0
11, 01/04  12:00:00,544320.0000000001,1134000.0,12.107575250596248,21.907652050946584,0.0,0.0
12, 01/04  13:00:00,680400.0,1134000.0,15.289373315775904,23.18502612612333,0.0,0.0
13, 01/04  14:00:00,680400.0,1134000.0,17.030081911208306,23.851521194156604,0.0,0.0
14, 01/04  15:00:00,680400.0,1134000.0,18.504432466735736,23.634994904363772,0.0,0.0
15, 01/04  16:00:00,680400.0,1134000.0,16.785365717935857,22.676269230574132,0.0,0.0
16, 01/04  17:00:00,340200.0,567000.0,13.690154882766896,20.58557451221381,0.0,0.0
17, 01/04  18:00:00,136080.00000000006,226800.0,12.857088008039627,20.003201806304112,611225.0794709919,0.0
7, 01/05  08:00:00,340200.0,567000.0,8.572912087495489,20.102021395567,560396.2597565483,0.0
8, 01/05  09:00:00,680400.0,1134000.0,11.511947740959695,22.33508280396846,0.0,0.0
9, 01/05  10:00:00,680400.0,1134000.0,13.5335506266854,23.71352841498147,0.0,0.0
10, 01/05  11:00:00,680400.0,1134000.0,15.554445304739433,24.898509477862007,0.0,0.0
11, 01/05  12:00:00,544320.0000000001,1134000.0,16.76396943544943,25.17183554492115,0.0,0.0
12, 01/05  13:00:00,680400.0,1134000.0,17.639821419762246,25.89078680103769,0.0,41255.79065716663
13, 01/05  14:00:00,680400.0,1134000.0,20.772503755424896,25.994063304013324,0.0,339033.0332927468
14, 01/05  15:00:00,680400.0,1134000.0,22.0056946834065,25.99999989080819,0.0,353473.06257398135
15, 01/05  16:00:00,680400.0,1134000.0,20.41260369435772,25.601330554456247,0.0,0.0
16, 01/05  17:00:00,340200.0,567000.0,18.212752742636734,23.52530510677501,0.0,0.0
17, 01/05  18:00:00,136080.00000000006,226800.0,16.702155609309624,21.941839635819775,0.0,0.0
7, 01/06  08:00:00,340200.0,567000.0,7.127314351681153,20.134884284462647,2842457.873565084,0.0
8, 01/06  09:00:00,680400.0,1134000.0,7.1132106753968385,20.000000000002142,892180.3465758789,0.0
9, 01/06  10:00:00,680400.0,1134000.0,7.422423249989419,20.00000000000001,573729.4725299228,0.0
10, 01/06  11:00:00,680400.0,1134000.0,8.035791462129549,20.00000000000001,292717.839481418,0.0
11, 01/06  12:00:00,544320.0000000001,1134000.0,9.021918819781831,20.00000000000001,625426.9741363856,0.0
12, 01/06  13:00:00,680400.0,1134000.0,9.419439209454293,20.151500093728803,0.0,0.0
13, 01/06  14:00:00,680400.0,1134000.0,9.988688511775287,20.38078562033091,0.0,0.0
14, 01/06  15:00:00,680400.0,1134000.0,10.399336862206523,20.552705668929068,0.0,0.0
15, 01/06  16:00:00,680400.0,1134000.0,10.522985565105813,20.647309701970197,0.0,0.0
16, 01/06  17:00:00,340200.0,567000.0,10.250165992429466,20.015422667046558,703399.1830805029,0.0
17, 01/06  18:00:00,136080.00000000006,226800.0,9.779668113247844,20.000000000003745,1466714.1166868624,0.0
7, 01/07  08:00:00,0.0,0.0,4.8022098759925465,10.0,431287.49410146056,0.0
8, 01/07  09:00:00,0.0,0.0,5.895076183987154,10.000000000000004,64198.95859036606,0.0
9, 01/07  10:00:00,0.0,0.0,6.823153991887499,10.001409645733967,229378.55014804105,0.0
10, 01/07  11:00:00,0.0,0.0,7.88267303415305,10.000382950757313,65353.29385563661,0.0
