,Date/Time,ROOM:Zone Lights Electric Energy [J](Hourly),ROOM:Zone Electric Equipment Electric Energy [J](Hourly),PLENUM:Zone Mean Air Temperature [C](Hourly),ROOM:Zone Mean Air Temperature [C](Hourly),ROOM IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),ROOM IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly) 
7, 01/01  08:00:00,0.0,0.0,2.782986080058018,10.000000000000002,389670.91848720604,0.0
8, 01/01  09:00:00,0.0,0.0,3.7450291831180555,10.248268760237071,0.0,0.0
9, 01/01  10:00:00,0.0,0.0,6.239140437287655,10.885425095152366,0.0,0.0
10, 01/01  11:00:00,0.0,0.0,8.269815717580608,11.875711726413028,0.0,0.0
11, 01/01  12:00:00,0.0,0.0,10.068050038506572,12.838393512979431,0.0,0.0
12, 01/01  13:00:00,0.0,0.0,11.240922721466308,13.55148376772874,0.0,0.0
13, 01/01  14:00:00,0.0,0.0,10.470312321654713,13.283451250241294,0.0,0.0
14, 01/01  15:00:00,0.0,0.0,10.67433186712476,12.431950716436994,0.0,0.0
15, 01/01  16:00:00,0.0,0.0,12.121693014145466,11.827502035281224,0.0,0.0
16, 01/01  17:00:00,0.0,0.0,10.200761580697376,11.247831089757037,0.0,0.0
17, 01/01  18:00:00,0.0,0.0,8.316728717609276,10.376881095809038,0.0,0.0
7, 01/02  08:00:00,340200.0,567000.0,2.708409285205708,20.202345397489157,1790715.7857162748,0.0
8, 01/02  09:00:00,680400.0,1134000.0,4.450849906367178,20.54918975175392,0.0,0.0
9, 01/02  10:00:00,680400.0,1134000.0,6.725794017754126,21.742426598086855,0.0,0.0
10, 01/02  11:00:00,0.0,1134000.0,8.723117354314082,21.018726724992227,0.0,0.0
11, 01/02  12:00:00,544320.0000000001,1134000.0,10.301103049353092,22.972950680754515,0.0,0.0
12, 01/02  13:00:00,0.0,1134000.0,14.812452562022473,22.689284843526398,0.0,0.0
13, 01/02  14:00:00,680400.0,1134000.0,17.827258781975416,25.788213621613775,0.0,114034.06800070801
14, 01/02  15:00:00,680400.0,1134000.0,18.866796374379888,25.972048917061677,0.0,182409.4035956956
15, 01/02  16:00:00,680400.0,1134000.0,17.888581024553076,25.051969116212746,0.0,0.0
16, 01/02  17:00:00,340200.0,567000.0,15.67473976131099,22.71969115714835,0.0,0.0
17, 01/02  18:00:00,136080.00000000006,226800.0,14.321296813043276,20.29076820962715,25194.3979119756,0.0
7, 01/03  08:00:00,340200.0,567000.0,4.800819744500593,20.09660341053014,2677521.056694685,0.0
8, 01/03  09:00:00,680400.0,1134000.0,5.825164921998464,20.0000000000146,444588.0060931379,0.0
9, 01/03  10:00:00,680400.0,1134000.0,8.934677532448324,20.627400108470535,0.0,0.0
10, 01/03  11:00:00,680400.0,1134000.0,10.39174549650158,21.538420873580638,0.0,0.0
11, 01/03  12:00:00,0.0,1134000.0,14.458081626291175,20.815939604712838,0.0,0.0
12, 01/03  13:00:00,680400.0,1134000.0,13.092185613651681,23.29790354396513,0.0,0.0
13, 01/03  14:00:00,680400.0,1134000.0,12.721627801385116,23.24031185518972,0.0,0.0
14, 01/03  15:00:00,680400.0,1134000.0,12.80722387006778,23.393622326596912,0.0,0.0
15, 01/03  16:00:00,680400.0,1134000.0,9.55512994454583,22.433659768724247,0.0,0.0
16, 01/03  17:00:00,340200.0,567000.0,7.330567192166543,20.161142969471037,286431.58204922447,0.0
17, 01/03  18:00:00,136080.00000000006,226800.0,5.445492665569887,20.00000000000063,1618425.5309601468,0.0
7, 01/04  08:00:00,340200.0,567000.0,3.9741777380296135,20.088890812991146,1833289.5530189532,0.0
8, 01/04  09:00:00,680400.0,1134000.0,6.189174932073526,21.13350741576636,0.0,0.0
9, 01/04  10:00:00,680400.0,1134000.0,8.098641651528526,22.53205481018674,0.0,0.0
10, 01/04  11:00:00,0.0,1134000.0,10.986403626370418,22.173195034133734,0.0,0.0
11, 01/04  12:00:00,544320.0000000001,1134000.0,12.494161701172226,24.47420294347241,0.0,0.0
12, 01/04  13:00:00,0.0,1134000.0,15.699830491470554,24.207480454046593,0.0,0.0
13, 01/04  14:00:00,680400.0,1134000.0,17.51990575578539,25.999998234887286,0.0,678022.2623594676
14, 01/04  15:00:00,680400.0,1134000.0,18.991792932390922,25.999999995747203,0.0,647356.1258576969
15, 01/04  16:00:00,680400.0,1134000.0,17.188492536235437,25.72656010343404,0.0,0.0
16, 01/04  17:00:00,340200.0,567000.0,14.051332391004095,23.04033088559801,0.0,0.0
17, 01/04  18:00:00,136080.00000000006,226800.0,12.992447162700579,20.369558362577468,79583.35612127786,0.0
