,Date/Time,ROOM:Zone Lights Electric Energy [J](Hourly),ROOM:Zone Electric Equipment Electric Energy [J](Hourly),PLENUM:Zone Mean Air Temperature [C](Hourly),ROOM:Zone Mean Air Temperature [C](Hourly),ROOM IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),ROOM IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly) 
7, 01/01  08:00:00,0.0,0.0,2.926831767874472,12.14228231172966,0.0,0.0
8, 01/01  09:00:00,0.0,0.0,3.7450291831180555,10.248268760237071,0.0,0.0
9, 01/01  10:00:00,0.0,0.0,6.239140437287655,10.885425095152366,0.0,0.0
10, 01/01  11:00:00,0.0,0.0,8.269815717580608,11.875711726413028,0.0,0.0
11, 01/01  12:00:00,0.0,0.0,10.068050038506572,12.838393512979431,0.0,0.0
12, 01/01  13:00:00,0.0,0.0,11.046080056574382,17.703336612895665,0.0,0.0
13, 01/01  14:00:00,0.0,0.0,10.650187777550908,17.39520088446049,0.0,0.0
14, 01/01  15:00:00,0.0,0.0,10.67433186712476,12.431950716436994,0.0,0.0
15, 01/01  16:00:00,0.0,0.0,12.145803269141982,16.031274883298327,0.0,0.0
16, 01/01  17:00:00,0.0,0.0,10.450026460017355,13.79199244824425,0.0,0.0
17, 01/01  18:00:00,0.0,0.0,8.316728717609276,10.376881095809038,0.0,0.0
7, 01/02  08:00:00,340200.0,567000.0,2.7179368328991527,20.078419745879327,774756.0135913256,0.0
8, 01/02  09:00:00,680400.0,1134000.0,4.450849906367178,20.54918975175392,0.0,0.0
9, 01/02  10:00:00,680400.0,1134000.0,6.725794017754126,21.742426598086855,0.0,0.0
10, 01/02  11:00:00,0.0,1134000.0,8.723117354314082,21.018726724992227,0.0,0.0
11, 01/02  12:00:00,544320.0000000001,1134000.0,10.233456166137287,25.36621903525368,0.0,0.0
12, 01/02  13:00:00,0.0,1134000.0,14.812452562022473,22.689284843526398,0.0,0.0
13, 01/02  14:00:00,680400.0,1134000.0,17.827258781975416,25.788213621613775,0.0,114034.06800070801
14, 01/02  15:00:00,680400.0,1134000.0,18.866796374379888,25.972048917061677,0.0,182409.4035956956
15, 01/02  16:00:00,680400.0,1134000.0,18.500326484092735,26.0,0.0,1506495.835541921
16, 01/02  17:00:00,340200.0,567000.0,15.92444499060761,25.153921312455076,0.0,0.0
