,Date/Time,ROOM:Zone Lights Electric Energy [J](Hourly),ROOM:Zone Electric Equipment Electric Energy [J](Hourly),PLENUM:Zone Mean Air Temperature [C](Hourly),ROOM:Zone Mean Air Temperature [C](Hourly),ROOM IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),ROOM IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly) 
7, 01/01  08:00:00,0.0,0.0,9.150394441071068,19.979270134539274,0.0,0.0
8, 01/01  09:00:00,0.0,0.0,11.293966551612892,21.141744551126408,0.0,0.0
9, 01/01  10:00:00,0.0,0.0,12.074645463219857,21.848014490477766,0.0,0.0
10, 01/01  11:00:00,0.0,0.0,12.557090318687566,22.018291920270357,0.0,0.0
11, 01/01  12:00:00,0.0,0.0,13.941911138951749,23.090947814580392,0.0,0.0
12, 01/01  13:00:00,0.0,0.0,14.112730225032307,23.51724839101726,0.0,0.0
13, 01/01  14:00:00,0.0,0.0,14.918853293094024,23.497748469658912,0.0,0.0
14, 01/01  15:00:00,0.0,0.0,16.554902627743115,23.780953926511984,0.0,0.0
15, 01/01  16:00:00,0.0,0.0,20.560564500538455,25.082057859222086,0.0,0.0
16, 01/01  17:00:00,0.0,0.0,19.007152021883613,25.721066366571534,0.0,0.0
17, 01/01  18:00:00,0.0,0.0,16.76751551705814,25.11542930401468,0.0,0.0
7, 01/02  08:00:00,340200.0,567000.0,10.73995954731086,21.96088670040637,0.0,0.0
8, 01/02  09:00:00,680400.0,1134000.0,12.003033088004116,24.456938899158942,0.0,0.0
9, 01/02  10:00:00,680400.0,1134000.0,13.504057488063106,25.55015300931768,0.0,0.0
10, 01/02  11:00:00,0.0,1134000.0,14.364710216800358,24.82190519279693,0.0,0.0
11, 01/02  12:00:00,544320.0000000001,1134000.0,14.477646909731547,25.999999999487592,0.0,44107.59072396966
12, 01/02  13:00:00,680400.0,1134000.0,15.146785476006752,26.00000000000001,0.0,636439.8989913521
13, 01/02  14:00:00,0.0,1134000.0,16.783592167885114,25.93911014359148,0.0,196451.39284713517
14, 01/02  15:00:00,0.0,1134000.0,18.306672065008122,25.99999999805823,0.0,797711.4155203172
15, 01/02  16:00:00,680400.0,1134000.0,19.216622018903422,26.000000000000032,0.0,2268100.4148821384
16, 01/02  17:00:00,340200.0,567000.0,19.953669718139974,26.0,0.0,1270553.5096298477
17, 01/02  18:00:00,136080.00000000006,226800.0,18.587226560458586,25.897056204138106,0.0,66020.01215084348
7, 01/03  08:00:00,340200.0,567000.0,13.410314732534266,25.06703582045835,0.0,8882.07111105707
8, 01/03  09:00:00,680400.0,1134000.0,13.915628165045334,25.98923141115837,0.0,1273408.8740184177
9, 01/03  10:00:00,0.0,1134000.0,15.911216447626906,25.99999992469685,0.0,1268221.4100866548
10, 01/03  11:00:00,0.0,1134000.0,18.397364310731263,26.000000000000053,0.0,3570498.7968088295
11, 01/03  12:00:00,0.0,1134000.0,20.46261865313263,26.00000000000001,0.0,4797338.800726144
