,Date/Time,ROOM:Zone Lights Electric Energy [J](Hourly),ROOM:Zone Electric Equipment Electric Energy [J](Hourly),PLENUM:Zone Mean Air Temperature [C](Hourly),ROOM:Zone Mean Air Temperature [C](Hourly),ROOM IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),ROOM IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly) 
7, 01/01  08:00:00,0.0,0.0,9.08553130544158,13.105948934542065,0.0,0.0
8, 01/01  09:00:00,0.0,0.0,11.89704851454292,14.737423592449614,0.0,0.0
9, 01/01  10:00:00,0.0,0.0,12.34083963866785,15.484441095954118,0.0,0.0
10, 01/01  11:00:00,0.0,0.0,12.572941353740807,16.03301285744421,0.0,0.0
11, 01/01  12:00:00,0.0,0.0,14.412964856843937,16.671171425101864,0.0,0.0
12, 01/01  13:00:00,0.0,0.0,13.940103907321387,16.845854581366286,0.0,0.0
13, 01/01  14:00:00,0.0,0.0,14.620773504083571,16.540861481944283,0.0,0.0
14, 01/01  15:00:00,0.0,0.0,16.413306372423516,16.287392085264276,0.0,0.0
15, 01/01  16:00:00,0.0,0.0,20.95672320770932,15.985809116722805,0.0,0.0
16, 01/01  17:00:00,0.0,0.0,18.47753812984742,14.499337879090538,0.0,0.0
17, 01/01  18:00:00,0.0,0.0,15.833932274947207,14.317797973051468,0.0,0.0
7, 01/02  08:00:00,340200.0,567000.0,10.739919050890641,20.20853623020581,311229.1623181355,0.0
8, 01/02  09:00:00,680400.0,1134000.0,12.181409880241327,22.342524260771583,0.0,0.0
9, 01/02  10:00:00,680400.0,1134000.0,13.766403245816646,23.44331582284515,0.0,0.0
10, 01/02  11:00:00,680400.0,1134000.0,14.688288228970238,24.140455690628553,0.0,0.0
11, 01/02  12:00:00,544320.0000000001,1134000.0,14.452493369863848,23.88044545330483,0.0,0.0
12, 01/02  13:00:00,680400.0,1134000.0,15.22676847076522,24.579240877642107,0.0,0.0
13, 01/02  14:00:00,680400.0,1134000.0,17.252748275571392,25.11299068694507,0.0,0.0
14, 01/02  15:00:00,680400.0,1134000.0,18.638472788750487,25.450521709944038,0.0,0.0
15, 01/02  16:00:00,680400.0,1134000.0,19.138656679006623,25.323122742564138,0.0,0.0
16, 01/02  17:00:00,340200.0,567000.0,20.138004413405326,23.55316256777373,0.0,0.0
