,Date/Time,ROOM:Zone Lights Electric Energy [J](Hourly),ROOM:Zone Electric Equipment Electric Energy [J](Hourly),PLENUM:Zone Mean Air Temperature [C](Hourly),ROOM:Zone Mean Air Temperature [C](Hourly),ROOM IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),ROOM IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly) 
7, 01/01  08:00:00,0.0,0.0,9.224832824990148,15.135933025020227,0.0,0.0
8, 01/01  09:00:00,0.0,0.0,12.188759671279778,16.813293195910596,0.0,0.0
9, 01/01  10:00:00,0.0,0.0,12.715750678535983,17.670022789484886,0.0,0.0
10, 01/01  11:00:00,0.0,0.0,12.97690656614308,18.11803121427372,0.0,0.0
11, 01/01  12:00:00,0.0,0.0,14.918254587563796,18.94186785080213,0.0,0.0
12, 01/01  13:00:00,0.0,0.0,14.418961682975715,19.15703050365557,0.0,0.0
13, 01/01  14:00:00,0.0,0.0,15.089254921897087,18.918815490392088,0.0,0.0
14, 01/01  15:00:00,0.0,0.0,16.862245461156846,18.627311019699405,0.0,0.0
15, 01/01  16:00:00,0.0,0.0,21.372937353856486,18.464270242640353,0.0,0.0
16, 01/01  17:00:00,0.0,0.0,18.948437534850573,17.019174011612737,0.0,0.0
17, 01/01  18:00:00,0.0,0.0,16.02410995616432,15.70749063080057,0.0,0.0
7, 01/02  08:00:00,340200.0,567000.0,10.802768353107176,20.48795702751622,117418.67732755296,0.0
8, 01/02  09:00:00,680400.0,1134000.0,12.312305095401745,22.997990107285762,0.0,0.0
9, 01/02  10:00:00,680400.0,1134000.0,13.975361400461495,24.19627980979787,0.0,0.0
10, 01/02  11:00:00,680400.0,1134000.0,14.975420376643223,24.963807980715213,0.0,0.0
11, 01/02  12:00:00,544320.0000000001,1134000.0,14.69844302245486,24.72292835734807,0.0,0.0
12, 01/02  13:00:00,680400.0,1134000.0,15.486212846082474,25.410966268628894,0.0,0.0
13, 01/02  14:00:00,680400.0,1134000.0,17.613907168877088,25.923664832515527,0.0,163293.07743151905
14, 01/02  15:00:00,680400.0,1134000.0,19.068602539905978,25.999997565717894,0.0,532966.7792190702
15, 01/02  16:00:00,680400.0,1134000.0,19.42092354575432,25.999999998215838,0.0,522237.60155197274
16, 01/02  17:00:00,340200.0,567000.0,20.452137966069387,24.722485332704764,0.0,0.0
17, 01/02  18:00:00,136080.00000000006,226800.0,18.223082715341512,22.792618368772672,0.0,0.0
7, 01/03  08:00:00,340200.0,567000.0,13.447851287720086,23.110283181725464,0.0,8882.07111105707
