,Date/Time,ROOM:Zone Lights Electric Energy [J](Hourly),ROOM:Zone Electric Equipment Electric Energy [J](Hourly),PLENUM:Zone Mean Air Temperature [C](Hourly),ROOM:Zone Mean Air Temperature [C](Hourly),ROOM IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy [J](Hourly),ROOM IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy [J](Hourly) 
7, 01/01  08:00:00,0.0,0.0,9.224832824990148,15.135933025020227,0.0,0.0
8, 01/01  09:00:00,0.0,0.0,12.188759671279778,16.813293195910596,0.0,0.0
9, 01/01  10:00:00,0.0,0.0,12.617193657124734,20.64700141536971,0.0,0.0
10, 01/01  11:00:00,0.0,0.0,12.97690656614308,18.11803121427372,0.0,0.0
11, 01/01  12:00:00,0.0,0.0,14.684531662783249,22.279252401618706,0.0,0.0
12, 01/01  13:00:00,0.0,0.0,14.508160103162384,22.64841551940549,0.0,0.0
13, 01/01  14:00:00,0.0,0.0,15.244533802515273,22.62558354151988,0.0,0.0
14, 01/01  15:00:00,0.0,0.0,16.86224545560291,18.62731093342659,0.0,0.0
15, 01/01  16:00:00,0.0,0.0,21.37293735873992,18.464270356150827,0.0,0.0
16, 01/01  17:00:00,0.0,0.0,19.19752111102911,20.844322328346678,0.0,0.0
17, 01/01  18:00:00,0.0,0.0,16.024109958437982,15.707490676321314,0.0,0.0
7, 01/02  08:00:00,340200.0,567000.0,10.805901035288427,21.19251083361056,0.0,0.0
8, 01/02  09:00:00,680400.0,1134000.0,12.245688792844565,23.976048045238606,0.0,0.0
9, 01/02  10:00:00,680400.0,1134000.0,13.872326648804588,25.187925978432823,0.0,0.0
10, 01/02  11:00:00,0.0,1134000.0,14.792140257172028,24.536315248008286,0.0,0.0
11, 01/02  12:00:00,544320.0000000001,1134000.0,14.707662703973597,25.844294308895673,0.0,0.0
12, 01/02  13:00:00,680400.0,1134000.0,15.445318108685575,25.997620172602453,0.0,474112.76950750954
13, 01/02  14:00:00,0.0,1134000.0,17.37090828229537,25.76988130721685,0.0,68373.21517466653
14, 01/02  15:00:00,680400.0,1134000.0,18.91055769942674,26.000000000000014,0.0,1573566.0068466188
15, 01/02  16:00:00,680400.0,1134000.0,19.464116964386708,25.999999999999968,0.0,1724265.802303301
16, 01/02  17:00:00,340200.0,567000.0,20.452137963281068,24.72248527338368,0.0,0.0
17, 01/02  18:00:00,136080.00000000006,226800.0,18.223082713553318,22.792618341426557,0.0,0.0
7, 01/03  08:00:00,340200.0,567000.0,13.476796046668715,24.201377874851193,0.0,8882.07111105707
8, 01/03  09:00:00,680400.0,1134000.0,14.129530654365695,25.932586147665898,0.0,843571.3519966019
